Year,Month,District,Flood Events,Flood Extent (sq km)
2011,3,Kannur,3201587,0.0
2011,4,Kannur,3201587,0.0
2011,5,Kannur,3201587,0.0
2011,6,Kannur,3201587,0.0
2011,7,Kannur,3201587,0.0
2011,8,Kannur,3201587,0.0
2011,9,Kannur,3201587,1555.3964117647042
2011,10,Kannur,3201587,849.1428776470592
2011,11,Kannur,3201587,2669.9935552941183
2011,12,Kannur,3201587,0.0
2012,1,Kannur,3201587,2666.5933200000004
2012,2,Kannur,3201587,2656.4766141176483
2012,3,Kannur,3201587,2514.0485894117646
2012,4,Kannur,3201587,2070.828945882353
2012,5,Kannur,3201587,0.0
2012,6,Kannur,3201587,0.0
2012,7,Kannur,3201587,0.0
2012,8,Kannur,3201587,0.0
2012,9,Kannur,3201587,0.0
2012,10,Kannur,3201587,2699.0911164705894
2012,11,Kannur,3201587,2708.5635882352944
2012,12,Kannur,3201587,0.0
2013,1,Kannur,3201587,2672.082822352942
2013,2,Kannur,3201587,2826.525811764707
2013,3,Kannur,3201587,1591.071631764705
2013,4,Kannur,3201587,2880.577711764707
2013,5,Kannur,3201587,1840.4087717647055
2013,6,Kannur,3201587,0.0
2013,7,Kannur,3201587,0.0
2013,8,Kannur,3201587,1506.6873952941166
2013,9,Kannur,3201587,1719.6739658823517
2013,10,Kannur,3201587,2804.4907411764716
2013,11,Kannur,3201587,2871.5129576470595
2013,12,Kannur,3201587,2881.36849764706
2014,1,Kannur,3201587,2881.2685976470602
2014,2,Kannur,3201587,2881.36849764706
2014,3,Kannur,3201587,2565.1658258823527
2014,4,Kannur,3201587,1219.5936282352936
2014,5,Kannur,3201587,2763.3448094117657
2014,6,Kannur,3201587,1569.4960976470586
2014,7,Kannur,3201587,254.43159176470587
2014,8,Kannur,3201587,2.5284141176470585
2014,9,Kannur,3201587,871.9116458823526
2014,10,Kannur,3201587,1743.7821388235295
2014,11,Kannur,3201587,2881.36849764706
2014,12,Kannur,3201587,2881.312965882354
2015,1,Kannur,3201587,2880.919651764707
2015,2,Kannur,3201587,2876.3457105882367
2015,3,Kannur,3201587,2509.8386611764713
2015,4,Kannur,3201587,2808.982464705884
2015,5,Kannur,3201587,2194.8134682352934
2015,6,Kannur,3201587,452.45258823529434
2015,7,Kannur,3201587,746.1162529411755
2015,8,Kannur,3201587,1781.0459999999998
2015,9,Kannur,3201587,2783.2596141176473
2015,10,Kannur,3201587,1791.8215658823528
2015,11,Kannur,3201587,2757.394690588236
2015,12,Kannur,3201587,2881.3684976470595
2016,1,Kannur,3201587,2881.36849764706
2016,2,Kannur,3201587,2865.76159764706
2016,3,Kannur,3201587,2881.36849764706
2016,4,Kannur,3201587,2858.4896788235305
2016,5,Kannur,3201587,2835.8480964705896
2016,6,Kannur,3201587,1733.8182776470585
2016,7,Kannur,3201587,355.3322999999999
2016,8,Kannur,3201587,1707.895796470588
2016,9,Kannur,3201587,1519.8588352941163
2016,10,Kannur,3201587,2859.6301094117657
2016,11,Kannur,3201587,2881.2955976470603
2016,12,Kannur,3201587,2881.36849764706
2017,1,Kannur,3201587,2881.3684976470595
2017,2,Kannur,3201587,2881.34689764706
2017,3,Kannur,3201587,2811.1307188235305
2017,4,Kannur,3201587,2472.029519999999
2017,5,Kannur,3201587,2850.506068235295
2017,6,Kannur,3201587,1609.03532117647
2017,7,Kannur,3201587,1289.8692952941171
2017,8,Kannur,3201587,41.872591764705895
2017,9,Kannur,3201587,2393.53624235294
2017,10,Kannur,3201587,2875.707667058824
2017,11,Kannur,3201587,2877.069628235295
2017,12,Kannur,3201587,2881.36849764706
2018,1,Kannur,3201587,2826.4127541176485
2018,2,Kannur,3201587,2777.596203529413
2018,3,Kannur,3201587,2881.36849764706
2018,4,Kannur,3201587,2821.739841176472
2018,5,Kannur,3201587,2875.9818423529423
2018,6,Kannur,3201587,0.0
2018,7,Kannur,3201587,0.0
2018,8,Kannur,3201587,1154.747378823529
2018,9,Kannur,3201587,2857.6354835294123
2018,10,Kannur,3201587,2881.3684976470595
2018,11,Kannur,3201587,2881.3684976470595
2018,12,Kannur,3201587,2879.77969764706
2019,1,Kannur,3201587,2881.3675976470595
2019,2,Kannur,3201587,2881.0887811764715
2019,3,Kannur,3201587,2855.846008235294
2019,4,Kannur,3201587,2815.065536470589
2019,5,Kannur,3201587,1971.2389235294108
2019,6,Kannur,3201587,2309.1595129411767
2019,7,Kannur,3201587,0.0
2019,8,Kannur,3201587,66.46953529411763
2019,9,Kannur,3201587,2761.1908270588247
2019,10,Kannur,3201587,2874.4526117647065
2019,11,Kannur,3201587,2879.1165564705893
2019,12,Kannur,3201587,2880.860904705883
2020,1,Kannur,3201587,2878.358230588236
2020,2,Kannur,3201587,2881.3684976470595
2020,3,Kannur,3201587,2880.2503729411774
2020,4,Kannur,3201587,2795.0663329411777
2020,5,Kannur,3201587,2866.6957976470594
2020,6,Kannur,3201587,1017.8078858823524
2020,7,Kannur,3201587,2406.869611764706
2020,8,Kannur,3201587,957.560692941177
2020,9,Kannur,3201587,1736.6231894117634
2020,10,Kannur,3201587,2149.635582352941
2020,11,Kannur,3201587,2845.0770564705895
2020,12,Kannur,3201587,2881.32799764706
2021,1,Kannur,3201587,2880.617205882354
2021,2,Kannur,3201587,2877.23831647059
2021,3,Kannur,3201587,2881.03099764706
2021,4,Kannur,3201587,2876.67045882353
2021,5,Kannur,3201587,1591.968748235293
2021,6,Kannur,3201587,2480.147922352941
2021,7,Kannur,3201587,1669.5075635294113
2021,8,Kannur,3201587,1610.18008235294
2021,9,Kannur,3201587,2561.5092600000003
2021,10,Kannur,3201587,2538.403475294118
2021,11,Kannur,3201587,2167.022954117646
2021,12,Kannur,3201587,2876.86981764706
2022,1,Kannur,0,0.0
2022,2,Kannur,0,0.0
2022,3,Kannur,0,0.0
2022,4,Kannur,0,0.0
2022,5,Kannur,0,0.0
2022,6,Kannur,0,0.0
2022,7,Kannur,0,0.0
2022,8,Kannur,0,0.0
2022,9,Kannur,0,0.0
2022,10,Kannur,0,0.0
2022,11,Kannur,0,0.0
2022,12,Kannur,0,0.0
2023,1,Kannur,0,0.0
2023,2,Kannur,0,0.0
2023,3,Kannur,0,0.0
2023,4,Kannur,0,0.0
2023,5,Kannur,0,0.0
2023,6,Kannur,0,0.0
2023,7,Kannur,0,0.0
2023,8,Kannur,0,0.0
2023,9,Kannur,0,0.0
2023,10,Kannur,0,0.0
2023,11,Kannur,0,0.0
2023,12,Kannur,0,0.0
2000,1,Ernakulam,2607388,2271.9686647058807
2000,2,Ernakulam,2607388,0.0
2000,3,Ernakulam,2607388,0.0
2000,4,Ernakulam,2607388,1666.6312129411756
2000,5,Ernakulam,2607388,803.5589858823528
2000,6,Ernakulam,2607388,682.5585741176484
2000,7,Ernakulam,2607388,0.0
2000,8,Ernakulam,2607388,0.0
2000,9,Ernakulam,2607388,1726.783076470585
2000,10,Ernakulam,2607388,2343.5702047058808
2000,11,Ernakulam,2607388,2318.266757647057
2000,12,Ernakulam,2607388,0.0
2001,1,Ernakulam,2607388,2317.5029294117626
2001,2,Ernakulam,2607388,0.0
2001,3,Ernakulam,2607388,2335.1255117647042
2001,4,Ernakulam,2607388,0.0
2001,5,Ernakulam,2607388,16.658167058823523
2001,6,Ernakulam,2607388,0.0
2001,7,Ernakulam,2607388,12.132176470588236
2001,8,Ernakulam,2607388,592.2583552941176
2001,9,Ernakulam,2607388,1009.2335929411768
2001,10,Ernakulam,2607388,1328.9502529411764
2001,11,Ernakulam,2607388,2208.2912223529393
2001,12,Ernakulam,2607388,0.0
2002,1,Ernakulam,2607388,0.0
2002,2,Ernakulam,2607388,2346.6775376470573
2002,3,Ernakulam,2607388,0.0
2002,4,Ernakulam,2607388,0.0
2002,5,Ernakulam,2607388,1758.5255717647049
2002,6,Ernakulam,2607388,0.0
2002,7,Ernakulam,2607388,0.0
2002,8,Ernakulam,2607388,0.0
2002,9,Ernakulam,2607388,2245.548889411764
2002,10,Ernakulam,2607388,0.0
2002,11,Ernakulam,2607388,0.0
2002,12,Ernakulam,2607388,2339.680930588234
2003,1,Ernakulam,2607388,2326.3949223529394
2003,2,Ernakulam,2607388,2300.656252941175
2003,3,Ernakulam,2607388,0.0
2003,4,Ernakulam,2607388,0.0
2003,5,Ernakulam,2607388,350.7917294117649
2003,6,Ernakulam,2607388,0.0
2003,7,Ernakulam,2607388,0.0
2003,8,Ernakulam,2607388,0.0
2003,9,Ernakulam,2607388,0.0
2003,10,Ernakulam,2607388,655.8353823529412
2003,11,Ernakulam,2607388,2059.0295082352927
2003,12,Ernakulam,2607388,2318.133208235293
2004,1,Ernakulam,2607388,2080.905017647057
2004,2,Ernakulam,2607388,0.0
2004,3,Ernakulam,2607388,2163.585427058822
2004,4,Ernakulam,2607388,1768.68532235294
2004,5,Ernakulam,2607388,0.0
2004,6,Ernakulam,2607388,0.0
2004,7,Ernakulam,2607388,0.0
2004,8,Ernakulam,2607388,155.66928000000016
2004,9,Ernakulam,2607388,171.34143882352924
2004,10,Ernakulam,2607388,0.0
2004,11,Ernakulam,2607388,2033.3520211764685
2004,12,Ernakulam,2607388,2298.3561776470574
2005,1,Ernakulam,2607388,2126.932845882352
2005,2,Ernakulam,2607388,2345.8630270588224
2005,3,Ernakulam,2607388,2161.490269411763
2005,4,Ernakulam,2607388,1781.7747105882345
2005,5,Ernakulam,2607388,0.0
2005,6,Ernakulam,2607388,0.0
2005,7,Ernakulam,2607388,0.0
2005,8,Ernakulam,2607388,0.0
2005,9,Ernakulam,2607388,1127.550391764706
2005,10,Ernakulam,2607388,255.69323647058806
2005,11,Ernakulam,2607388,0.0
2005,12,Ernakulam,2607388,2140.5339141176455
2006,1,Ernakulam,2607388,2157.169595294116
2006,2,Ernakulam,2607388,0.0
2006,3,Ernakulam,2607388,2146.5101294117626
2006,4,Ernakulam,2607388,0.0
2006,5,Ernakulam,2607388,0.0
2006,6,Ernakulam,2607388,0.0
2006,7,Ernakulam,2607388,0.0
2006,8,Ernakulam,2607388,741.4697788235293
2006,9,Ernakulam,2607388,0.0
2006,10,Ernakulam,2607388,36.336892941176465
2006,11,Ernakulam,2607388,332.67762000000005
2006,12,Ernakulam,2607388,2167.289015294117
2007,1,Ernakulam,2607388,2342.007014117645
2007,2,Ernakulam,2607388,2153.1419082352927
2007,3,Ernakulam,2607388,2334.7421082352926
2007,4,Ernakulam,2607388,1956.203678823529
2007,5,Ernakulam,2607388,0.0
2007,6,Ernakulam,2607388,0.0
2007,7,Ernakulam,2607388,0.0
2007,8,Ernakulam,2607388,668.3327470588237
2007,9,Ernakulam,2607388,909.3972847058828
2007,10,Ernakulam,2607388,1229.3160176470587
2007,11,Ernakulam,2607388,2194.513881176469
2007,12,Ernakulam,2607388,2332.7100635294105
2008,1,Ernakulam,2607388,2346.6766376470578
2008,2,Ernakulam,2607388,2314.9528588235275
2008,3,Ernakulam,2607388,1922.7788047058814
2008,4,Ernakulam,2607388,0.0
2008,5,Ernakulam,2607388,432.17549294117606
2008,6,Ernakulam,2607388,0.0
2008,7,Ernakulam,2607388,2.516594117647059
2008,8,Ernakulam,2607388,265.07679176470583
2008,9,Ernakulam,2607388,1720.4157211764698
2008,10,Ernakulam,2607388,0.1764
2008,11,Ernakulam,2607388,1380.407156470588
2008,12,Ernakulam,2607388,2001.1740776470554
2009,1,Ernakulam,2607388,2157.4163011764695
2009,2,Ernakulam,2607388,2123.0170270588224
2009,3,Ernakulam,2607388,2180.748035294116
2009,4,Ernakulam,2607388,0.0
2009,5,Ernakulam,2607388,942.1649717647067
2009,6,Ernakulam,2607388,0.0
2009,7,Ernakulam,2607388,0.0
2009,8,Ernakulam,2607388,0.0
2009,9,Ernakulam,2607388,0.0
2009,10,Ernakulam,2607388,688.7743094117648
2009,11,Ernakulam,2607388,1280.4097235294116
2009,12,Ernakulam,2607388,0.0
2010,1,Ernakulam,2607388,2346.6694376470573
2010,2,Ernakulam,2607388,2316.279239999999
2010,3,Ernakulam,2607388,0.0
2010,4,Ernakulam,2607388,0.0
2010,5,Ernakulam,2607388,0.0
2010,6,Ernakulam,2607388,0.0
2010,7,Ernakulam,2607388,0.0
2010,8,Ernakulam,2607388,0.0
2010,9,Ernakulam,2607388,0.0
2010,10,Ernakulam,2607388,293.0436952941177
2010,11,Ernakulam,2607388,0.0
2010,12,Ernakulam,2607388,0.0
2011,1,Ernakulam,2607388,0.0
2011,2,Ernakulam,2607388,0.0
2011,3,Ernakulam,2607388,1738.8761752941177
2011,4,Ernakulam,2607388,0.0
2011,5,Ernakulam,2607388,1489.104705882353
2011,6,Ernakulam,2607388,0.0
2011,7,Ernakulam,2607388,0.0
2011,8,Ernakulam,2607388,606.8609329411764
2011,9,Ernakulam,2607388,690.2250494117652
2011,10,Ernakulam,2607388,1661.782927058823
2011,11,Ernakulam,2607388,2163.7796152941164
2011,12,Ernakulam,2607388,2046.7175188235283
2012,1,Ernakulam,2607388,2294.517345882351
2012,2,Ernakulam,2607388,2169.9943870588218
2012,3,Ernakulam,2607388,2247.825310588233
2012,4,Ernakulam,2607388,1941.2262141176452
2012,5,Ernakulam,2607388,988.7588576470582
2012,6,Ernakulam,2607388,0.0
2012,7,Ernakulam,2607388,0.0
2012,8,Ernakulam,2607388,0.0
2012,9,Ernakulam,2607388,523.2506294117647
2012,10,Ernakulam,2607388,1565.7887823529413
2012,11,Ernakulam,2607388,2231.0188694117633
2012,12,Ernakulam,2607388,2129.3072011764693
2013,1,Ernakulam,2607388,2346.3595517647045
2013,2,Ernakulam,2607388,0.0
2013,3,Ernakulam,2607388,0.0
2013,4,Ernakulam,2607388,2111.506567058821
2013,5,Ernakulam,2607388,0.0
2013,6,Ernakulam,2607388,0.0
2013,7,Ernakulam,2607388,20.92753058823529
2013,8,Ernakulam,2607388,134.2124011764706
2013,9,Ernakulam,2607388,650.4667058823533
2013,10,Ernakulam,2607388,1892.9012329411744
2013,11,Ernakulam,2607388,2303.205095294117
2013,12,Ernakulam,2607388,2164.1427529411753
2014,1,Ernakulam,2607388,2346.6775376470573
2014,2,Ernakulam,2607388,2346.6775376470573
2014,3,Ernakulam,2607388,2276.0573788235283
2014,4,Ernakulam,2607388,1407.7555411764704
2014,5,Ernakulam,2607388,2299.6283541176454
2014,6,Ernakulam,2607388,332.94552352941156
2014,7,Ernakulam,2607388,6.674689411764706
2014,8,Ernakulam,2607388,2065.2424411764687
2014,9,Ernakulam,2607388,1972.583961176469
2014,10,Ernakulam,2607388,2301.010814117645
2014,11,Ernakulam,2607388,2273.8096764705865
2014,12,Ernakulam,2607388,2276.8223258823514
2015,1,Ernakulam,2607388,2345.6408611764696
2015,2,Ernakulam,2607388,2333.488450588234
2015,3,Ernakulam,2607388,2260.186058823528
2015,4,Ernakulam,2607388,2343.733581176469
2015,5,Ernakulam,2607388,2162.722485882351
2015,6,Ernakulam,2607388,90.97990235294115
2015,7,Ernakulam,2607388,132.01638705882354
2015,8,Ernakulam,2607388,1228.0413705882363
2015,9,Ernakulam,2607388,1681.4221164705882
2015,10,Ernakulam,2607388,905.7416294117635
2015,11,Ernakulam,2607388,2344.513309411763
2015,12,Ernakulam,2607388,2306.6428411764696
2016,1,Ernakulam,2607388,2346.6766376470578
2016,2,Ernakulam,2607388,2346.6608470588226
2016,3,Ernakulam,2607388,2341.7120858823514
2016,4,Ernakulam,2607388,2181.074452941174
2016,5,Ernakulam,2607388,2136.532291764707
2016,6,Ernakulam,2607388,0.0
2016,7,Ernakulam,2607388,166.00068000000005
2016,8,Ernakulam,2607388,1419.0461188235297
2016,9,Ernakulam,2607388,1553.218895294118
2016,10,Ernakulam,2607388,1710.0344611764708
2016,11,Ernakulam,2607388,2274.1197670588213
2016,12,Ernakulam,2607388,2342.4073941176457
2017,1,Ernakulam,2607388,2346.6775376470573
2017,2,Ernakulam,2607388,2346.6775376470573
2017,3,Ernakulam,2607388,1964.2711941176478
2017,4,Ernakulam,2607388,2320.212448235293
2017,5,Ernakulam,2607388,2208.2223105882344
2017,6,Ernakulam,2607388,0.0
2017,7,Ernakulam,2607388,1583.1192811764697
2017,8,Ernakulam,2607388,971.9710200000001
2017,9,Ernakulam,2607388,1723.061417647059
2017,10,Ernakulam,2607388,2148.068392941175
2017,11,Ernakulam,2607388,2125.426263529411
2017,12,Ernakulam,2607388,2346.2635376470575
2018,1,Ernakulam,2607388,2346.6739376470578
2018,2,Ernakulam,2607388,2346.6775376470578
2018,3,Ernakulam,2607388,2256.730147058822
2018,4,Ernakulam,2607388,2316.672850588234
2018,5,Ernakulam,2607388,25.484325882352937
2018,6,Ernakulam,2607388,1368.6409588235288
2018,7,Ernakulam,2607388,0.0
2018,8,Ernakulam,2607388,392.36560941176486
2018,9,Ernakulam,2607388,2236.281896470586
2018,10,Ernakulam,2607388,1862.3220952941153
2018,11,Ernakulam,2607388,2335.9824952941162
2018,12,Ernakulam,2607388,2346.2281058823514
2019,1,Ernakulam,2607388,2346.6775376470573
2019,2,Ernakulam,2607388,2346.525684705881
2019,3,Ernakulam,2607388,2346.6775376470573
2019,4,Ernakulam,2607388,2162.0802388235275
2019,5,Ernakulam,2607388,868.2061588235292
2019,6,Ernakulam,2607388,2179.716712941175
2019,7,Ernakulam,2607388,1372.6733717647055
2019,8,Ernakulam,2607388,470.9801682352941
2019,9,Ernakulam,2607388,2220.298478823528
2019,10,Ernakulam,2607388,1879.1037176470577
2019,11,Ernakulam,2607388,2236.5395894117637
2019,12,Ernakulam,2607388,2346.6775376470573
2020,1,Ernakulam,2607388,2346.61624235294
2020,2,Ernakulam,2607388,2346.6775376470578
2020,3,Ernakulam,2607388,2346.6775376470573
2020,4,Ernakulam,2607388,2192.8210517647044
2020,5,Ernakulam,2607388,1967.193049411762
2020,6,Ernakulam,2607388,162.95990823529414
2020,7,Ernakulam,2607388,2183.142801176469
2020,8,Ernakulam,2607388,1548.321585882352
2020,9,Ernakulam,2607388,1582.792132941175
2020,10,Ernakulam,2607388,2249.1712447058812
2020,11,Ernakulam,2607388,2283.5413729411744
2020,12,Ernakulam,2607388,2330.3250176470574
2021,1,Ernakulam,2607388,2276.3050764705863
2021,2,Ernakulam,2607388,2346.6775376470573
2021,3,Ernakulam,2607388,2346.6775376470573
2021,4,Ernakulam,2607388,2075.995764705881
2021,5,Ernakulam,2607388,2168.080499999999
2021,6,Ernakulam,2607388,1826.6692376470576
2021,7,Ernakulam,2607388,1285.3912235294094
2021,8,Ernakulam,2607388,1773.0993105882324
2021,9,Ernakulam,2607388,803.8177658823522
2021,10,Ernakulam,2607388,1896.4533847058829
2021,11,Ernakulam,2607388,2121.2344835294107
2021,12,Ernakulam,2607388,2346.6637694117635
2022,1,Ernakulam,0,0.0
2022,2,Ernakulam,0,0.0
2022,3,Ernakulam,0,0.0
2022,4,Ernakulam,0,0.0
2022,5,Ernakulam,0,0.0
2022,6,Ernakulam,0,0.0
2022,7,Ernakulam,0,0.0
2022,8,Ernakulam,0,0.0
2022,9,Ernakulam,0,0.0
2022,10,Ernakulam,0,0.0
2022,11,Ernakulam,0,0.0
2022,12,Ernakulam,0,0.0
2023,1,Ernakulam,0,0.0
2023,2,Ernakulam,0,0.0
2023,3,Ernakulam,0,0.0
2023,4,Ernakulam,0,0.0
2023,5,Ernakulam,0,0.0
2023,6,Ernakulam,0,0.0
2023,7,Ernakulam,0,0.0
2023,8,Ernakulam,0,0.0
2023,9,Ernakulam,0,0.0
2023,10,Ernakulam,0,0.0
2023,11,Ernakulam,0,0.0
2023,12,Ernakulam,0,0.0
2000,1,Idukki,5663604,4740.370284705882
2000,2,Idukki,5663604,0.0
2000,3,Idukki,5663604,0.0
2000,4,Idukki,5663604,3357.810815294115
2000,5,Idukki,5663604,1674.092996470588
2000,6,Idukki,5663604,9.115648235294119
2000,7,Idukki,5663604,7.291549411764714
