state,year,rainfall
Bihar,2000,3.9483156921980953
Bihar,2001,3.617056038048048
Bihar,2002,3.2274015878072246
Bihar,2003,3.3937517729287072
Bihar,2004,3.724087598537915
Bihar,2005,2.9383820693792733
Bihar,2006,3.6440733936066234
Bihar,2007,4.0809999496965155
Bihar,2008,4.412891189767593
Bihar,2009,3.073454355692077
Bihar,2010,3.0611894624694287
Bihar,2011,3.391119284420794
Bihar,2012,3.220112786834073
Bihar,2013,3.289930665512888
Bihar,2014,3.5235693136611506
Bihar,2015,3.1259515444115946
Bihar,2016,4.18017794692662
Bihar,2017,3.6797603548283857
Bihar,2018,3.1177360989041505
Bihar,2019,3.636780958371241
Bihar,2020,4.641460979115485
Bihar,2021,4.656079072872021
Bihar,2022,3.2189585251642057
Bihar,2023,3.159202118991582
Chhattisgarh,2000,2.980176623647929
Chhattisgarh,2001,4.201632401701151
Chhattisgarh,2002,2.965309954209579
Chhattisgarh,2003,4.406680408260118
Chhattisgarh,2004,3.6452496291159022
Chhattisgarh,2005,3.840223501218757
Chhattisgarh,2006,3.88613734865696
Chhattisgarh,2007,4.102221349486709
Chhattisgarh,2008,3.9465200294422593
Chhattisgarh,2009,3.4669809076575997
Chhattisgarh,2010,3.930453329753448
Chhattisgarh,2011,3.9676387610552415
Chhattisgarh,2012,4.370976212460666
Chhattisgarh,2013,4.4325399266690795
Chhattisgarh,2014,3.6477761305913465
Chhattisgarh,2015,3.475526858364822
Chhattisgarh,2016,4.02312978179874
Chhattisgarh,2017,3.7177936745712783
Chhattisgarh,2018,3.820062518361577
Chhattisgarh,2019,4.130018059007092
Chhattisgarh,2020,4.428490095805061
Chhattisgarh,2021,3.773342120729513
Chhattisgarh,2022,4.006541255365279
Chhattisgarh,2023,3.592105393843733
Jharkhand,2000,3.105612291886616
Jharkhand,2001,3.5500350057129406
Jharkhand,2002,3.2887432775082575
Jharkhand,2003,3.512542916194582
Jharkhand,2004,3.5401834675454418
Jharkhand,2005,3.0679666806829826
Jharkhand,2006,4.078540063760296
Jharkhand,2007,4.2797015249389245
Jharkhand,2008,4.076034829768544
Jharkhand,2009,3.267346268831438
Jharkhand,2010,2.748520145194723
Jharkhand,2011,3.900875088015287
Jharkhand,2012,3.5104587209136593
Jharkhand,2013,3.9422738080792614
Jharkhand,2014,3.3710249877698693
Jharkhand,2015,3.4852333803976205
Jharkhand,2016,4.123810724733179
Jharkhand,2017,4.395979690854035
Jharkhand,2018,3.384614157521367
Jharkhand,2019,3.4984998732199397
Jharkhand,2020,4.52149353349682
Jharkhand,2021,4.64469401844314
Jharkhand,2022,3.1152972169103244
Jharkhand,2023,3.0464214589640064
Madhya Pradesh,2000,2.474743887745633
Madhya Pradesh,2001,2.744985047504821
Madhya Pradesh,2002,2.378345336254943
Madhya Pradesh,2003,3.23685582990895
Madhya Pradesh,2004,2.552665595389371
Madhya Pradesh,2005,3.2223233727788463
Madhya Pradesh,2006,3.2544801397414673
Madhya Pradesh,2007,2.710238027345144
Madhya Pradesh,2008,2.8292110971423368
Madhya Pradesh,2009,2.6077560424426176
Madhya Pradesh,2010,3.056778983614878
Madhya Pradesh,2011,3.2770378455961624
Madhya Pradesh,2012,3.131476174233725
Madhya Pradesh,2013,4.314729116884281
Madhya Pradesh,2014,2.62130739855301
Madhya Pradesh,2015,2.549995559721715
Madhya Pradesh,2016,3.7990933775017184
Madhya Pradesh,2017,2.557912703872956
Madhya Pradesh,2018,2.9411835575673404
Madhya Pradesh,2019,4.162570708280517
Madhya Pradesh,2020,3.2491847516838503
Madhya Pradesh,2021,3.071832917117173
Madhya Pradesh,2022,3.9565085104978888
Madhya Pradesh,2023,2.858548272090496
Uttar Pradesh,2000,2.878850558389911
Uttar Pradesh,2001,2.486313388018474
Uttar Pradesh,2002,2.1186387395321984
Uttar Pradesh,2003,2.885826413280644
Uttar Pradesh,2004,2.304444742818971
Uttar Pradesh,2005,2.4371684123440733
Uttar Pradesh,2006,2.514332302812269
Uttar Pradesh,2007,2.6344816208399235
Uttar Pradesh,2008,3.514249823694602
Uttar Pradesh,2009,2.34874188212
Uttar Pradesh,2010,2.813784700931381
Uttar Pradesh,2011,3.3477143027069665
Uttar Pradesh,2012,3.0437341141506775
Uttar Pradesh,2013,3.616838910059854
Uttar Pradesh,2014,2.4466154330777896
Uttar Pradesh,2015,2.1983347580808754
Uttar Pradesh,2016,3.1142005557539023
Uttar Pradesh,2017,2.964125183113707
Uttar Pradesh,2018,3.370332538409776
Uttar Pradesh,2019,3.011059305132973
Uttar Pradesh,2020,3.011043443200854
Uttar Pradesh,2021,3.4217189981849354
Uttar Pradesh,2022,2.747151866369254
Uttar Pradesh,2023,2.6129174970712223
Uttarakhand,2000,2.412594250068904
Uttarakhand,2001,1.8207022679632725
Uttarakhand,2002,2.1028770543838795
Uttarakhand,2003,2.210055881787574
Uttarakhand,2004,2.121302676747488
Uttarakhand,2005,2.2299374613595826
Uttarakhand,2006,2.171991902979126
Uttarakhand,2007,2.490810196641931
Uttarakhand,2008,2.254656924907625
Uttarakhand,2009,3.3671745042436765
Uttarakhand,2010,4.03917983745684
Uttarakhand,2011,5.025790874592358
Uttarakhand,2012,4.059825347909
Uttarakhand,2013,4.9997100995206365
Uttarakhand,2014,3.4811413219021916
Uttarakhand,2015,3.9257358411625263
Uttarakhand,2016,3.4813452414857955
Uttarakhand,2017,4.1601577308119975
Uttarakhand,2018,4.377051851469332
Uttarakhand,2019,3.946701887713563
Uttarakhand,2020,3.609562927860804
Uttarakhand,2021,3.80098771932359
