,State,Year,Temperature (°C)
162,Andaman and Nicobar,2018,30.160502323049656
163,Andaman and Nicobar,2019,30.292115933093907
164,Andaman and Nicobar,2020,30.222819277008007
165,Andaman and Nicobar,2021,30.147755889548904
166,Andaman and Nicobar,2022,30.23426789914661
167,Andaman and Nicobar,2023,30.559394604637134
168,Andhra Pradesh,2000,32.73022798444211
169,Andhra Pradesh,2001,32.9157853768234
170,Andhra Pradesh,2002,33.148330065014974
171,Andhra Pradesh,2003,33.378119178625326
172,Andhra Pradesh,2004,32.63350199257035
173,Andhra Pradesh,2005,32.85459268782384
174,Andhra Pradesh,2006,32.783124941740894
175,Andhra Pradesh,2007,32.75861374299545
176,Andhra Pradesh,2008,32.770563056402096
177,Andhra Pradesh,2009,33.43689218498742
178,Andhra Pradesh,2010,33.10579338645395
179,Andhra Pradesh,2011,32.80785713492349
180,Andhra Pradesh,2012,33.09792477393999
181,Andhra Pradesh,2013,32.72386015401619
182,Andhra Pradesh,2014,33.3188241959807
183,Andhra Pradesh,2015,33.198620903240574
184,Andhra Pradesh,2016,32.7636366644188
185,Andhra Pradesh,2017,32.73435359930282
186,Andhra Pradesh,2018,32.493743987150786
187,Andhra Pradesh,2019,33.69969331021235
188,Andhra Pradesh,2020,33.142936501264515
189,Andhra Pradesh,2021,33.02471309471821
190,Andhra Pradesh,2022,32.98957982326678
191,Andhra Pradesh,2023,33.42145814512534
192,Assam,2000,28.15481020039734
193,Assam,2001,29.024766066784412
194,Assam,2002,28.599910406259
195,Assam,2003,28.59080111556812
196,Assam,2004,28.607937423749185
197,Assam,2005,28.87635865849749
198,Assam,2006,29.4656339278904
199,Assam,2007,29.287121163600794
200,Assam,2008,28.684776548172742
201,Assam,2009,30.065821169213848
202,Assam,2010,29.551904970425767
203,Assam,2011,29.175509239069747
204,Assam,2012,28.73485191126112
205,Assam,2013,28.903127613150748
206,Assam,2014,29.017883696290056
207,Assam,2015,28.672835069796726
208,Assam,2016,28.81309823911717
209,Assam,2017,28.79777431516549
210,Assam,2018,28.58504238491587
211,Assam,2019,29.208614114360408
212,Assam,2020,29.241378977206416
213,Assam,2021,29.65396506275879
214,Assam,2022,29.260027284712407
215,Assam,2023,29.728599623442477
216,Delhi,2000,31.850513181297664
217,Delhi,2001,31.41188570523599
218,Delhi,2002,31.94443540920498
219,Delhi,2003,31.36740400311868
220,Delhi,2004,32.46948352946907
221,Delhi,2005,31.218831773993116
222,Delhi,2006,31.584958153643726
223,Delhi,2007,31.860673866432773
224,Delhi,2008,31.341032880150077
225,Delhi,2009,32.20383134761104
226,Delhi,2010,32.428157359354834
227,Delhi,2011,31.4090304680457
228,Delhi,2012,30.96586506834297
229,Delhi,2013,31.280983968033524
230,Delhi,2014,31.030519820675874
231,Delhi,2015,31.18951282800964
232,Delhi,2016,32.91904009209853
233,Delhi,2017,32.18852849450577
234,Delhi,2018,32.362146711985
235,Delhi,2019,31.581574507224126
236,Delhi,2020,30.94423927344493
237,Delhi,2021,31.579889384304266
238,Delhi,2022,31.92486203493896
239,Delhi,2023,31.42538709402333
240,Goa,2000,30.47340732029582
241,Goa,2001,30.414420193314573
242,Goa,2002,30.521807239154136
243,Goa,2003,30.870859169832823
244,Goa,2004,30.50336313097255
245,Goa,2005,30.528877119689476
246,Goa,2006,30.59032549877465
247,Goa,2007,30.5907519038142
248,Goa,2008,30.262763641945867
249,Goa,2009,30.740936665624957
250,Goa,2010,30.769000312505153
251,Goa,2011,30.389265585508536
252,Goa,2012,30.466496022412656
253,Goa,2013,30.38548002434255
254,Goa,2014,30.628910014967346
255,Goa,2015,31.101854745417967
256,Goa,2016,30.782224625405018
257,Goa,2017,30.596329846433854
258,Goa,2018,30.450769201247844
259,Goa,2019,31.011960174783535
260,Goa,2020,31.353307894318426
261,Goa,2021,31.134620361080483
262,Goa,2022,30.805766816340174
263,Goa,2023,31.462994320081975
264,Gujarat,2000,33.8827634883581
265,Gujarat,2001,33.652412469618895
266,Gujarat,2002,34.13246124156397
267,Gujarat,2003,33.727442260445926
268,Gujarat,2004,33.89460423685196
269,Gujarat,2005,33.30500133475633
270,Gujarat,2006,33.74619508516882
271,Gujarat,2007,33.88818662478987
272,Gujarat,2008,33.40392462009948
273,Gujarat,2009,34.30351726976985
274,Gujarat,2010,34.229247015923086
275,Gujarat,2011,33.742357139095375
276,Gujarat,2012,33.43276740977165
277,Gujarat,2013,33.334697043265336
278,Gujarat,2014,34.447071155101845
279,Gujarat,2015,34.1278087735927
280,Gujarat,2016,33.391498267200475
281,Gujarat,2017,33.50646785836787
282,Gujarat,2018,34.23824143094486
283,Gujarat,2019,33.991975899365585
284,Gujarat,2020,33.895938439706484
285,Gujarat,2021,33.91404118653451
286,Gujarat,2022,34.092752696808866
287,Gujarat,2023,33.92190399561984
288,Haryana,2000,31.936823968816135
289,Haryana,2001,31.483823733638935
290,Haryana,2002,32.01182986891252
291,Haryana,2003,31.3703283119483
292,Haryana,2004,32.51547695511222
293,Haryana,2005,31.217615455896585
294,Haryana,2006,31.656283044672954
295,Haryana,2007,31.910250348012624
296,Haryana,2008,31.387462801493815
297,Haryana,2009,32.21762973598989
298,Haryana,2010,32.447173626507144
299,Haryana,2011,31.46788413243982
300,Haryana,2012,30.966177051662946
301,Haryana,2013,31.38729774345594
302,Haryana,2014,31.07889724615324
303,Haryana,2015,31.158479823117034
304,Haryana,2016,32.88615060352512
305,Haryana,2017,32.226568702334234
306,Haryana,2018,32.3951598130486
307,Haryana,2019,31.85568843688555
308,Haryana,2020,31.308919271802047
309,Haryana,2021,31.669030704060248
310,Haryana,2022,32.15101484757694
311,Haryana,2023,31.42941920319145
312,Himachal Pradesh,2000,12.373014177015891
313,Himachal Pradesh,2001,12.517958853064307
314,Himachal Pradesh,2002,12.45388394339309
315,Himachal Pradesh,2003,11.935576322639129
316,Himachal Pradesh,2004,12.935439086751916
317,Himachal Pradesh,2005,11.748038793718347
318,Himachal Pradesh,2006,12.435270579466046
319,Himachal Pradesh,2007,12.697827950891746
320,Himachal Pradesh,2008,12.070211269181142
321,Himachal Pradesh,2009,12.655599874265949
322,Himachal Pradesh,2010,12.815034077556913
323,Himachal Pradesh,2011,12.25120203593182
324,Himachal Pradesh,2012,11.654184774573574
325,Himachal Pradesh,2013,12.087821913842024
326,Himachal Pradesh,2014,11.636472485708222
327,Himachal Pradesh,2015,11.809178455449025
328,Himachal Pradesh,2016,13.275051203065411
329,Himachal Pradesh,2017,12.655728615485941
330,Himachal Pradesh,2018,12.519546569581133
331,Himachal Pradesh,2019,12.125052005519589
332,Himachal Pradesh,2020,12.564731584728776
333,Himachal Pradesh,2021,12.465026077331292
334,Himachal Pradesh,2022,13.40533127905051
335,Himachal Pradesh,2023,12.628409020169316
336,Karnataka,2000,30.536394926211415
337,Karnataka,2001,30.722323094681496
338,Karnataka,2002,30.979837788196544
339,Karnataka,2003,31.4574986834728
340,Karnataka,2004,30.704905285168167
341,Karnataka,2005,30.749646155740628
342,Karnataka,2006,30.67690325384995
343,Karnataka,2007,30.782210032525285
344,Karnataka,2008,30.58547910451772
345,Karnataka,2009,31.04168418708997
346,Karnataka,2010,31.026755036845895
347,Karnataka,2011,30.616410947286
348,Karnataka,2012,31.01886217799197
349,Karnataka,2013,30.83455133111092
350,Karnataka,2014,31.06617200233193
351,Karnataka,2015,31.273520740398755
352,Karnataka,2016,30.994722302075452
353,Karnataka,2017,30.49356263391177
354,Karnataka,2018,30.064963994084962
355,Karnataka,2019,31.38574040836942
356,Karnataka,2020,31.19084811878441
