Assam,2009,1,98.9882296701843
Assam,2009,2,99.34413579205946
Assam,2009,3,99.13319480757175
Assam,2009,4,98.76714691289223
Assam,2009,5,98.56881854346129
Assam,2009,6,98.24508437917002
Assam,2009,7,97.30634051425797
Assam,2009,8,97.20486294443145
Assam,2009,9,97.98172562800508
Assam,2009,10,98.73144104174882
Assam,2009,11,98.74414300117877
Assam,2009,12,98.83417652488602
Assam,2010,1,99.07408066806754
Assam,2010,2,99.47367725797885
Assam,2010,3,98.87568239159033
Assam,2010,4,98.03091723012352
Assam,2010,5,97.49371249342913
Assam,2010,6,96.67902864747795
Assam,2010,7,96.21107334386735
Assam,2010,8,95.82471226206104
Assam,2010,9,96.21421514874784
Assam,2010,10,98.07513983351129
Assam,2010,11,98.22333625937226
Assam,2010,12,98.38181189210677
Assam,2011,1,98.69655305810882
Assam,2011,2,99.05739488319954
Assam,2011,3,98.95699988639002
Assam,2011,4,98.78026711919027
Assam,2011,5,98.48860100186614
Assam,2011,6,97.90691198231812
Assam,2011,7,96.80175823493828
Assam,2011,8,97.28403940799366
Assam,2011,9,97.92294712976289
Assam,2011,10,98.76929353299967
Assam,2011,11,98.85492992839986
Assam,2011,12,98.93372452559377
Assam,2012,1,98.97140477434445
Assam,2012,2,99.37088004216159
Assam,2012,3,99.25905603241402
Assam,2012,4,98.33904718818638
Assam,2012,5,98.55418017016416
Assam,2012,6,96.47186017083563
Assam,2012,7,96.07406814564044
Assam,2012,8,96.84440333737986
Assam,2012,9,94.71082316741608
Assam,2012,10,97.47002008083317
Assam,2012,11,98.30556865281514
Assam,2012,12,98.12614893219009
Assam,2013,1,98.52296447091756
Assam,2013,2,99.053818051718
Assam,2013,3,99.24725407622877
Assam,2013,4,98.35996327060272
Assam,2013,5,97.6538462642977
Assam,2013,6,97.96194468886027
Assam,2013,7,96.52677730443557
Assam,2013,8,96.78727581578165
Assam,2013,9,97.43970380085594
Assam,2013,10,98.32726986695512
Assam,2013,11,98.31485170556832
Assam,2013,12,98.66376313337864
Assam,2014,1,98.75700209816898
Assam,2014,2,98.9415743407174
Assam,2014,3,99.54921454185207
Assam,2014,4,99.13490398882897
Assam,2014,5,98.0700997936111
Assam,2014,6,97.68567252744639
Assam,2014,7,97.48952136508746
Assam,2014,8,93.88145386273197
Assam,2014,9,97.35364660072354
Assam,2014,10,98.48672200249233
Assam,2014,11,98.6246602835039
Assam,2014,12,98.63528107685453
Assam,2015,1,98.90968552932702
Assam,2015,2,99.34963317184796
Assam,2015,3,99.42444912488959
Assam,2015,4,98.58560862124406
Assam,2015,5,98.84653913454443
Assam,2015,6,97.73464099563876
Assam,2015,7,97.91153591985766
Assam,2015,8,96.29340829948481
Assam,2015,9,97.63831705413934
Assam,2015,10,98.56915607279365
Assam,2015,11,98.68981150309367
Assam,2015,12,98.65418669990692
Assam,2016,1,98.97036150026214
Assam,2016,2,99.354169638889
Assam,2016,3,99.16497931074244
Assam,2016,4,98.47454169737829
Assam,2016,5,97.97994201052724
Assam,2016,6,97.75447201310185
Assam,2016,7,95.62070578875574
Assam,2016,8,96.84244105691437
Assam,2016,9,96.84716458763353
Assam,2016,10,97.74268139782177
Assam,2016,11,98.54285441377921
Assam,2016,12,98.68783811686502
Assam,2017,1,98.88231316388193
Assam,2017,2,99.42572457688816
Assam,2017,3,98.85920048479174
Assam,2017,4,98.68833318548991
Assam,2017,5,98.0156790917167
Assam,2017,6,97.98196664890968
Assam,2017,7,95.95300438249478
Assam,2017,8,95.60540924617943
Assam,2017,9,96.36569196853746
Assam,2017,10,97.40647630305696
Assam,2017,11,97.70552051575267
Assam,2017,12,98.48072943227103
Assam,2018,1,98.68005588076208
Assam,2018,2,98.9629075533571
Assam,2018,3,99.13973214601873
Assam,2018,4,99.153652872635
Assam,2018,5,98.66063341498241
Assam,2018,6,98.24425833262227
Assam,2018,7,98.2451048405075
Assam,2018,8,97.82609130661136
Assam,2018,9,96.96212152638076
Assam,2018,10,98.59522790405977
Assam,2018,11,98.2724036797252
Assam,2018,12,98.42733435389943
Assam,2019,1,98.67312530823608
Assam,2019,2,99.16341518116847
Assam,2019,3,99.0589406690154
Assam,2019,4,99.08849874580793
Assam,2019,5,98.4902818534002
Assam,2019,6,97.41998224019716
Assam,2019,7,95.24363400806376
Assam,2019,8,96.68192741638936
Assam,2019,9,96.67630953639956
Assam,2019,10,97.45619646779488
Assam,2019,11,98.03513560263109
Assam,2019,12,98.54370981781645
Assam,2020,1,98.63237376661932
Assam,2020,2,99.09168916994882
Assam,2020,3,99.3420329162285
Assam,2020,4,98.73317340742118
Assam,2020,5,98.13590757168126
Assam,2020,6,96.38261661770301
Assam,2020,7,94.20915182573917
Assam,2020,8,95.6418165452159
Assam,2020,9,95.44523476020765
Assam,2020,10,97.16094759524768
Assam,2020,11,98.06805620735844
Assam,2020,12,98.26131387107488
Assam,2021,1,98.66880058601264
Assam,2021,2,99.23911981616487
Assam,2021,3,99.6567922027741
Assam,2021,4,99.19439991752998
Assam,2021,5,98.21219108504648
Assam,2021,6,97.15218559230091
Assam,2021,7,97.18294766636441
Assam,2021,8,96.53650230811111
Assam,2021,9,96.64161581057317
Assam,2021,10,97.59761646808776
Assam,2021,11,98.11069272456542
Assam,2021,12,98.33971264164285
Assam,2022,1,98.62681019753073
Assam,2022,2,99.03312611314928
Assam,2022,3,99.41901566983881
Assam,2022,4,98.38840412353873
Assam,2022,5,97.26165154025654
Assam,2022,6,95.57342140612724
Assam,2022,7,96.88978369236959
Assam,2022,8,96.68501216756721
