year,rainfall
2010,9.332452656466362
2011,8.921851598855103
2012,7.14284399772806
2013,7.333638093015138
2014,7.635688001889587
2015,7.065454671974715
2016,4.942625420970832
2017,7.743144087589109
2018,9.367765132377626
2019,8.141428264912633
2020,8.046501628355877
2021,8.85860942309562
2022,8.939160644005824
2023,6.817049220664226
2000,5.183001919069153
2001,6.615874399309573
2002,4.726232986519302
2003,5.845341326533884
2004,5.547242742517722
2005,4.916970653810362
2006,6.09862033871637
2007,7.47054395813873
2008,5.9733895046123555
2009,6.334448479223942
2010,7.929505139157394
2011,6.754813313484191
2012,5.171666344870693
2013,6.004975705906965
2014,4.886537500049758
2015,5.659780395203742
2016,4.794631544230641
2017,5.9056882115377896
2018,5.690574542335843
2019,7.084173660347427
2020,7.440916686818221
2021,6.271664626356485
2022,6.538231286449709
2023,5.301492223705072
2000,2.7426745241841504
2001,2.6167400491990964
2002,2.336076431067956
2003,2.5818712014573872
2004,2.5904468948657833
2005,3.6028258243594813
2006,3.77121755514895
2007,3.5305868960490843
2008,2.832577821992293
2009,2.8175775275523436
2010,3.9871595782620153
2011,3.041895399789415
2012,2.805274803429191
2013,3.46690884092775
2014,2.6465442975231737
2015,2.4685841103251844
2016,3.158993504652684
2017,2.974981509983244
2018,2.669027752123964
2019,3.670837888205336
2020,3.934817595329179
2021,3.379005799525544
2022,3.890206656310827
2023,2.9283223468619513
2000,5.562427076349606
2001,4.719101365147109
2002,4.332011589790355
2003,4.730358481397773
2004,6.17102927263411
2005,5.128863488896241
2006,4.140739798813317
2007,5.601046655000236
2008,4.494883281569597
2009,4.285770693065643
2010,6.379219440087219
2011,5.101469701411969
2012,5.116688332871395
2013,4.997532815210592
2014,4.176423158791201
2015,4.9568926527415975
2016,5.461881992784674
2017,5.9444357064521816
2018,4.57831239375884
2019,3.8655866708524234
2020,4.492286856667807
2021,3.5949862898046594
2022,4.351966502378227
2023,4.142813886500011
2000,10.289882663605102
2001,8.42908247740973
2002,9.330870685629923
2003,8.911901944492225
2004,10.569550131876383
2005,8.914087658935678
2006,7.5956437315288765
2007,9.636029722633426
2008,8.24417931872427
2009,8.586536961634506
2010,10.320657650288078
2011,8.770307256450668
2012,10.266655998706533
2013,8.885414871442524
2014,9.09935959580677
2015,8.537082743210206
2016,8.076350477436748
2017,10.608369815532946
2018,7.1263650900188535
2019,8.634432333419655
2020,8.642906804509076
2021,6.358701950153286
2022,7.874165077313127
2023,7.044614484149207
2000,7.207077713191767
2001,7.356025489906686
2002,6.5816483738454155
2003,6.7107954898760225
2004,8.346329173259553
2005,5.888815067017135
2006,6.212627428524817
2007,8.422459847490424
2008,5.960505806869487
2009,6.455533227406917
2010,8.233165679774855
2011,7.363834363441545
2012,7.069079744184976
2013,6.448415858614157
2014,5.806443843576245
2015,7.381754430158933
2016,7.077110739526038
2017,8.4204546779946
2018,5.814926279641666
2019,5.527943032090374
2020,6.435587211799248
2021,5.313948819556837
2022,5.457162428340865
2023,5.917224854466372
2000,6.351231839900442
2001,5.854004540501515
2002,5.204855942871692
2003,5.741858349219809
2004,6.674223731679239
2005,5.387525014803277
2006,5.020670293998137
2007,6.2657162937479605
2008,5.568988167666308
2009,4.925873509042351
2010,6.607118304491022
2011,5.758500494550455
2012,5.647250385871977
2013,5.612990678783036
2014,5.047608500259175
2015,5.511063633162691
2016,5.888212783652575
2017,6.144740080692754
2018,5.5826600937642405
2019,5.021356836141257
2020,5.14765854721022
2021,4.9147536953447375
2022,5.270976397923825
2023,5.2619835014509455
2000,3.0529505224769333
2001,4.527752081323786
2002,3.4415216475209793
2003,4.47290474098258
2004,3.845092051983026
2005,4.443270862657795
2006,4.728955948680162
2007,4.759222814116341
2008,4.682902096334413
2009,4.022462312980899
2010,3.917118632519813
2011,4.22313907591107
2012,4.272243393941094
2013,4.669940633230779
2014,4.204246928207853
2015,3.6488348959967905
2016,3.973864571336107
2017,4.390586219415042
2018,4.543723806198423
2019,4.209970284756792
2020,4.562994888928395
2021,4.332529523764419
2022,3.92349957648853
2023,3.778561424388367
2000,0.7784260088977599
2001,0.9452214806387668
2002,0.7448546353517593
2003,1.0007444397146608
2004,0.7893485120529466
2005,1.0135311278030683
2006,1.083281897730763
2007,1.142887375065583
2008,1.268527489556619
2009,1.576149294500459
2010,2.174195525461067
2011,2.5327731625852454
2012,1.9660372871553071
2013,2.3211980163827315
2014,2.1660839750100433
2015,2.3622429443132424
2016,1.9797813834801532
2017,1.9539013523725557
2018,2.3424970807996015
2019,2.2676971164905777
2020,2.1404740263254385
2021,2.3978964601435933
2022,2.287038429114475
2023,2.621157745363088
2000,1.0850765608011597
2001,1.2829070488897758
2002,0.5773378318473847
2003,1.3569184271738652
2004,1.164513218982975
2005,1.223953845006885
2006,1.3770587744760436
2007,1.1862879521687613
2008,1.2994955340626837
2009,1.0173196639403084
2010,1.7390733323131082
2011,1.6884367488834056
2012,1.539832507677397
2013,1.7613916081317205
2014,1.2464205402325004
2015,1.2531956975131155
2016,1.7815199090291705
2017,1.3930587749712584
2018,1.4892909643565957
2019,1.8808186941796865
2020,1.579474817620936
2021,1.5797081058838731
2022,1.9492768109332368
2023,1.647283112394421
2000,3.7684427681063015
2001,3.6788338832509337
2002,3.4805903891785435
2003,3.4553160691820546
2004,3.579124608207453
2005,3.2746694729037813
