Month,State,Temperature (°C),Year
3,Assam,28.9455790835565,1986
4,Assam,27.994433718930175,1986
5,Assam,30.28738396864995,1986
6,Assam,32.13846341922828,1986
7,Assam,30.805969630700385,1986
8,Assam,32.297688739258355,1986
9,Assam,30.089790531291733,1986
10,Assam,28.942551652365825,1986
11,Assam,27.458857828543945,1986
12,Assam,23.389344747920877,1986
1,Assam,23.53293019450806,1987
2,Assam,26.06733663606085,1987
3,Assam,26.386042843284347,1987
4,Assam,28.92917010679714,1987
5,Assam,30.52502971021465,1987
6,Assam,31.33372140042621,1987
7,Assam,29.87396203857097,1987
8,Assam,30.162489443762286,1987
9,Assam,29.80786494290607,1987
10,Assam,29.035199492043624,1987
11,Assam,27.2439336337665,1987
12,Assam,24.420812348435245,1987
1,Assam,23.281272795391036,1988
2,Assam,25.765956183918615,1988
3,Assam,27.688262652528625,1988
4,Assam,29.170175559493345,1988
5,Assam,29.131255104100894,1988
6,Assam,31.26027943715625,1988
7,Assam,30.300039372727248,1988
8,Assam,29.58200051593919,1988
9,Assam,29.852290161457574,1988
10,Assam,29.27224436515785,1988
11,Assam,26.59498728977251,1988
12,Assam,24.04348550391151,1988
1,Assam,21.492368230658418,1989
2,Assam,22.84096125713507,1989
3,Assam,28.084655389080208,1989
4,Assam,29.39671633567468,1989
5,Assam,30.965973163085383,1989
6,Assam,30.579676950388738,1989
7,Assam,29.44569160427851,1989
8,Assam,31.056090916894135,1989
9,Assam,29.69431615551315,1989
10,Assam,29.089806815244422,1989
11,Assam,25.143116437667285,1989
12,Assam,22.314528752350856,1989
1,Assam,23.08492081712311,1990
2,Assam,23.180342353430028,1990
3,Assam,25.154237015432248,1990
4,Assam,26.019441647600978,1990
5,Assam,30.492603532944504,1990
6,Assam,30.438264474077087,1990
7,Assam,30.420378830710053,1990
8,Assam,31.41730986381716,1990
9,Assam,29.61502006918414,1990
10,Assam,28.371197447651333,1990
11,Assam,28.001958222134284,1990
12,Assam,24.02629147125025,1990
1,Assam,22.175033183459977,1991
2,Assam,25.133830547697738,1991
3,Assam,28.586330171893582,1991
4,Assam,27.96135507244627,1991
5,Assam,27.56913951935278,1991
6,Assam,30.165213610779837,1991
7,Assam,31.05716137358,1991
8,Assam,31.086153445375498,1991
9,Assam,29.563898819788314,1991
10,Assam,29.04628776186195,1991
11,Assam,26.212065663907968,1991
12,Assam,21.93603810531768,1991
1,Assam,22.29473242761397,1992
2,Assam,21.51450876261263,1992
3,Assam,27.125187173323024,1992
4,Assam,29.919016761814323,1992
5,Assam,29.2707586438202,1992
6,Assam,30.940235177445594,1992
7,Assam,30.370482983159174,1992
8,Assam,31.377318273939835,1992
9,Assam,30.660312553176087,1992
10,Assam,28.635019340313622,1992
11,Assam,26.358808626970472,1992
12,Assam,22.35209227555204,1992
1,Assam,20.07062131066525,1993
2,Assam,23.683214236369757,1993
3,Assam,26.613211505906012,1993
4,Assam,28.82147634490888,1993
5,Assam,28.376966044422073,1993
6,Assam,29.431996441518127,1993
7,Assam,31.14259741413515,1993
8,Assam,30.43214319966399,1993
9,Assam,30.125771368362894,1993
10,Assam,29.373619884026425,1993
11,Assam,27.142909029998275,1993
12,Assam,24.900387353106417,1993
1,Assam,23.87104026570353,1994
2,Assam,23.591364841191687,1994
3,Assam,26.27354854103825,1994
4,Assam,28.859650458484875,1994
5,Assam,30.940258134382617,1994
6,Assam,30.78150269064485,1994
7,Assam,32.2126337693723,1994
8,Assam,31.706842142719253,1994
9,Assam,31.704688794555587,1994
10,Assam,28.712903837513156,1994
11,Assam,26.2270373793096,1994
12,Assam,23.89002234981433,1994
1,Assam,22.06847592539439,1995
2,Assam,23.598449170508218,1995
3,Assam,28.204775921299987,1995
4,Assam,29.82000491688085,1995
5,Assam,30.42329494814586,1995
6,Assam,30.59598762552746,1995
7,Assam,30.12089204903212,1995
8,Assam,31.06488550584563,1995
9,Assam,29.84610539164388,1995
10,Assam,30.195220121861855,1995
11,Assam,26.61309172596287,1995
12,Assam,22.996527878399817,1995
1,Assam,21.910770720468985,1996
2,Assam,25.691158653267063,1996
3,Assam,27.68825918696592,1996
4,Assam,30.336531892294495,1996
5,Assam,28.74749175413306,1996
6,Assam,30.719337254081683,1996
7,Assam,29.873152048855495,1996
8,Assam,30.83805176538909,1996
9,Assam,31.12716973489771,1996
10,Assam,29.513621031553164,1996
11,Assam,27.179390247380137,1996
12,Assam,24.829626335863676,1996
1,Assam,22.21372509274301,1997
2,Assam,21.7918617439562,1997
3,Assam,27.487814420244348,1997
4,Assam,27.79009861886803,1997
5,Assam,29.899512522096533,1997
6,Assam,29.57563132923512,1997
7,Assam,31.115878403878916,1997
8,Assam,31.616375309389593,1997
9,Assam,29.407180868532222,1997
10,Assam,29.509545869514344,1997
11,Assam,26.13659911542648,1997
12,Assam,22.116777440412985,1997
1,Assam,20.658371763819723,1998
2,Assam,24.71883996879541,1998
3,Assam,26.285496754966037,1998
4,Assam,28.883051996471973,1998
5,Assam,31.2105270121237,1998
6,Assam,29.44575522858735,1998
7,Assam,30.059994318514356,1998
8,Assam,30.139814158134552,1998
9,Assam,30.962471579084085,1998
10,Assam,30.223876437185503,1998
11,Assam,27.58408897068647,1998
12,Assam,24.93251208134574,1998
1,Assam,23.37928398081063,1999
2,Assam,28.431413860269153,1999
3,Assam,30.111919079610697,1999
4,Assam,30.84379387009789,1999
5,Assam,29.524405367408885,1999
6,Assam,30.869419066679104,1999
7,Assam,30.075777026868987,1999
8,Assam,29.974537877998696,1999
9,Assam,30.708696527320537,1999
10,Assam,28.722636087811143,1999
11,Assam,27.298085807964927,1999
12,Assam,23.971397531948593,1999
Month,State,Temperature (°C),Year
1,Assam,21.88004299905705,2000
2,Assam,23.333686641398483,2000
3,Assam,26.177627208616215,2000
4,Assam,28.23754118250032,2000
5,Assam,29.90347043020046,2000
6,Assam,30.081090952227473,2000
7,Assam,30.9047006282302,2000
8,Assam,30.087616518334546,2000
9,Assam,29.434363115904855,2000
10,Assam,29.78105850260544,2000
11,Assam,25.927890231089126,2000
12,Assam,23.89588049783994,2000
1,Assam,22.420745154554417,2001
2,Assam,25.055263819896634,2001
3,Assam,28.952269794024556,2001
4,Assam,29.27001600466259,2001
5,Assam,30.359484629166893,2001
6,Assam,30.938349015366672,2001
7,Assam,31.402785302998346,2001
8,Assam,31.648747528485526,2001
9,Assam,30.647508321376716,2001
10,Assam,29.11682791778643,2001
11,Assam,26.754288420742768,2001
12,Assam,23.75761276527009,2001
1,Assam,22.464143642495934,2002
2,Assam,26.474276290194823,2002
3,Assam,28.30356894379681,2002
4,Assam,27.674760790465978,2002
5,Assam,29.724266580109877,2002
6,Assam,30.320224272820344,2002
7,Assam,29.6577781159412,2002
8,Assam,30.6974562658335,2002
9,Assam,30.903902959768295,2002
10,Assam,29.60116164860663,2002
11,Assam,26.401479892175036,2002
12,Assam,23.225731579471816,2002
1,Assam,20.5981400628714,2003
2,Assam,24.093249935543284,2003
3,Assam,25.88251098868607,2003
4,Assam,28.464840808923153,2003
5,Assam,29.589769638780147,2003
6,Assam,30.24039329217277,2003
7,Assam,30.746739984553585,2003
8,Assam,31.568059483089616,2003
9,Assam,30.66462507567788,2003
10,Assam,28.709998948353054,2003
11,Assam,26.240077265927454,2003
12,Assam,23.114143775166266,2003
1,Assam,21.39974057955509,2004
2,Assam,25.118131980796676,2004
3,Assam,29.00575331275032,2004
4,Assam,26.55058938268731,2004
5,Assam,29.717475631052018,2004
6,Assam,30.304821808594422,2004
7,Assam,29.401265765983876,2004
8,Assam,31.77355919581194,2004
9,Assam,29.993331248557944,2004
10,Assam,28.322627210921862,2004
11,Assam,26.749006842663594,2004
12,Assam,23.70370986075558,2004
1,Assam,22.036187151646317,2005
2,Assam,25.13034545547489,2005
3,Assam,26.52225484008472,2005
4,Assam,28.193709931786294,2005
5,Assam,28.548291158824313,2005
6,Assam,31.653284345551068,2005
7,Assam,31.014126979709218,2005
8,Assam,30.90829838759156,2005
9,Assam,32.10633597063987,2005
10,Assam,29.260298182225124,2005
11,Assam,26.95326369058441,2005
12,Assam,24.651154792714525,2005
1,Assam,23.056323743583754,2006
2,Assam,26.40136576301853,2006
3,Assam,29.667744546916058,2006
4,Assam,28.772509325876978,2006
5,Assam,30.852956659183064,2006
6,Assam,29.949861319642526,2006
7,Assam,31.995747295159145,2006
8,Assam,32.924102204237656,2006
9,Assam,31.208234807572005,2006
10,Assam,30.784297925896276,2006
11,Assam,26.37922737271564,2006
12,Assam,24.36379982816237,2006
1,Assam,22.804801742494504,2007
2,Assam,23.410500277002736,2007
3,Assam,28.671870628298528,2007
4,Assam,28.40793511520164,2007
5,Assam,31.419895006068472,2007
6,Assam,30.706412186570965,2007
7,Assam,30.863228816132874,2007
8,Assam,32.05602919690389,2007
9,Assam,30.999497121094585,2007
10,Assam,30.534988312795644,2007
11,Assam,28.090847485158886,2007
12,Assam,24.722281302442546,2007
1,Assam,22.237316479408104,2008
2,Assam,23.655197293509886,2008
3,Assam,27.453579650387894,2008
4,Assam,29.444771530068415,2008
5,Assam,31.380807492633316,2008
6,Assam,30.923478646208807,2008
7,Assam,31.375863663251206,2008
8,Assam,30.73867929312512,2008
9,Assam,31.78060825219909,2008
10,Assam,30.33735006830406,2008
11,Assam,27.82788695706501,2008
12,Assam,25.178690729174164,2008
1,Assam,24.23859230874636,2009
2,Assam,27.3190851602672,2009
3,Assam,29.583124546679624,2009
4,Assam,29.766033306527728,2009
5,Assam,31.30011182004958,2009
6,Assam,31.71221504563449,2009
7,Assam,32.349493957690036,2009
8,Assam,31.369027753855782,2009
9,Assam,32.79040266906957,2009
10,Assam,31.116122645327657,2009
11,Assam,27.565923151855227,2009
12,Assam,23.863861408493573,2009
1,Assam,24.13135745641183,2010
2,Assam,26.47375343810101,2010
3,Assam,28.817886460240747,2010
4,Assam,28.423647191858947,2010
5,Assam,29.966751554071895,2010
6,Assam,30.04043475103355,2010
7,Assam,31.381059017330692,2010
8,Assam,32.4155861127519,2010
9,Assam,30.97657626105661,2010
10,Assam,30.30844083198055,2010
11,Assam,27.799137611239605,2010
12,Assam,24.260412003929606,2010
1,Assam,21.935080255427277,2011
2,Assam,26.424743501321238,2011
3,Assam,28.45332847796702,2011
4,Assam,29.95357745353183,2011
5,Assam,31.062054779817863,2011
6,Assam,31.689525834929505,2011
7,Assam,31.42372907444189,2011
8,Assam,31.860112927534573,2011
9,Assam,32.36089214833782,2011
10,Assam,31.84653137094191,2011
11,Assam,27.37670487494622,2011
12,Assam,24.812579956116462,2011
1,Assam,21.993595517858672,2012
2,Assam,26.34034360559088,2012
3,Assam,29.208889365904007,2012
4,Assam,28.39780030854251,2012
5,Assam,32.03035072519653,2012
