Month,Temperature (°C),Year
9,29.902107845747505,2022
10,28.551805103766952,2022
11,27.11485009369474,2022
12,23.441946177609168,2022
1,22.211809299790726,2023
2,24.755818683191396,2023
3,26.925430879228,2023
4,29.956988679874637,2023
5,29.984596947698495,2023
6,29.688965360768087,2023
7,30.457823109262183,2023
8,29.73861254920921,2023
9,31.194634057121938,2023
10,28.575727233944516,2023
11,26.997617209900206,2023
12,23.556646506433786,2023
