State,Year,Month,Rainfall (mm)
Assam,1981,1,1.2856033702958565
Assam,1981,2,1.206149961658667
Assam,1981,3,4.2455024777240995
Assam,1981,4,5.948816053056004
Assam,1981,5,13.097272143174921
Assam,1981,6,11.439339984130935
Assam,1981,7,15.249697363923268
Assam,1981,8,13.066277182679027
Assam,1981,9,9.058296400557559
Assam,1981,10,1.6212744196891333
Assam,1981,11,0.33748826743158294
Assam,1981,12,0.48727676427980876
Assam,1982,1,0.36778266469854226
Assam,1982,2,1.035770118901
Assam,1982,3,1.8862141524698144
Assam,1982,4,7.622403261194342
Assam,1982,5,10.306482926999113
Assam,1982,6,14.553214201528577
Assam,1982,7,11.89441424389414
Assam,1982,8,14.060993389073282
Assam,1982,9,8.962870878652542
Assam,1982,10,2.6921404552278485
Assam,1982,11,0.5789933173738175
Assam,1982,12,0.3307650003922749
Assam,1983,1,0.5160210613308145
Assam,1983,2,1.4651077579345575
Assam,1983,3,2.835592450008187
Assam,1983,4,6.270305233924277
Assam,1983,5,11.130420742377119
Assam,1983,6,13.723329340957081
Assam,1983,7,15.883322188426549
Assam,1983,8,12.147265689102547
Assam,1983,9,13.12926011227347
Assam,1983,10,4.795687910739694
Assam,1983,11,0.3703607572175475
Assam,1983,12,0.4566131266131516
Assam,1984,1,0.6126849400822382
Assam,1984,2,0.6193089931998694
Assam,1984,3,2.07351695525527
Assam,1984,4,6.513184612695231
Assam,1984,5,12.821175035566252
Assam,1984,6,16.6572249933227
Assam,1984,7,17.606854643678773
Assam,1984,8,9.034247659041519
Assam,1984,9,14.238565363736427
Assam,1984,10,3.2391981743940264
Assam,1984,11,0.4212249784213218
Assam,1984,12,0.6000445248440504
Assam,1985,1,0.4374203690078672
Assam,1985,2,1.0945841370412739
Assam,1985,3,4.715453321400606
Assam,1985,4,5.720974210140059
Assam,1985,5,11.805209189819694
Assam,1985,6,17.418408105012254
Assam,1985,7,15.19299158084989
Assam,1985,8,11.608312118523589
Assam,1985,9,12.660815803630944
Assam,1985,10,2.131255612117106
Assam,1985,11,0.34642820724253776
Assam,1985,12,0.37305684641171927
Assam,1986,1,0.44121601065653454
Assam,1986,2,0.7579052302753784
Assam,1986,3,1.4793209401676302
Assam,1986,4,9.047366244387938
Assam,1986,5,7.40099461008507
Assam,1986,6,12.813478545937052
Assam,1986,7,14.208617008847458
Assam,1986,8,10.823192844916862
Assam,1986,9,11.177915718075617
Assam,1986,10,7.925843101368685
Assam,1986,11,1.444249591362017
Assam,1986,12,0.2808137016274696
Assam,1987,1,0.435028812959429
Assam,1987,2,0.9466476293316424
Assam,1987,3,4.681682039506959
Assam,1987,4,5.904779349829916
Assam,1987,5,9.995170205749817
Assam,1987,6,11.802070981530202
Assam,1987,7,16.31627950297044
Assam,1987,8,10.851691149515466
Assam,1987,9,14.038984509552533
Assam,1987,10,3.6157346116897884
Assam,1987,11,0.6054358088031232
Assam,1987,12,0.29305453653905494
Assam,1988,1,0.629648748100237
Assam,1988,2,1.5626345105725192
Assam,1988,3,3.2679221635375333
Assam,1988,4,6.333020277101085
Assam,1988,5,21.297304828534653
Assam,1988,6,14.22439403688612
Assam,1988,7,17.01564291413122
Assam,1988,8,16.183330720096762
Assam,1988,9,11.60987791104653
Assam,1988,10,6.336973730636666
Assam,1988,11,0.7682862225297817
Assam,1988,12,0.3923453120832893
Assam,1989,1,0.5959084964926784
Assam,1989,2,1.5005550252546835
Assam,1989,3,1.8670271660694955
Assam,1989,4,5.4355894086508885
Assam,1989,5,8.525708554214336
Assam,1989,6,14.686629158413448
Assam,1989,7,18.625778455632236
Assam,1989,8,12.353471238991608
Assam,1989,9,14.79962664182128
Assam,1989,10,6.7946769016644835
Assam,1989,11,0.5262898174779506
Assam,1989,12,0.2528570934174266
Assam,1990,1,0.4828651768219213
Assam,1990,2,1.6014909125823213
Assam,1990,3,3.329174122479305
Assam,1990,4,7.963588289201696
Assam,1990,5,9.601735998963406
Assam,1990,6,16.759776641770895
Assam,1990,7,15.9686682375412
Assam,1990,8,8.900848277283037
Assam,1990,9,16.096732570292758
Assam,1990,10,5.534060349234208
Assam,1990,11,0.5070499419002896
Assam,1990,12,0.235305866191049
Assam,1991,1,0.6597786124383573
Assam,1991,2,0.9596945827507152
Assam,1991,3,2.6463352158091302
Assam,1991,4,5.01322905026416
Assam,1991,5,16.75226018818934
Assam,1991,6,13.16908537540329
Assam,1991,7,11.776751056788015
Assam,1991,8,12.796766388775442
Assam,1991,9,13.980242690056066
Assam,1991,10,7.956221314967145
Assam,1991,11,0.43758364534684174
Assam,1991,12,0.44328206290264066
Assam,1992,1,0.858372845556626
Assam,1992,2,1.5952856710001244
Assam,1992,3,2.1091176928284026
Assam,1992,4,5.53199751798698
Assam,1992,5,9.756026622941091
Assam,1992,6,13.220805608104309
Assam,1992,7,14.488365472953296
Assam,1992,8,9.907058386599056
Assam,1992,9,9.727291479537012
Assam,1992,10,3.0653044882440117
Assam,1992,11,0.3406619832154484
Assam,1992,12,0.2833770306426457
Assam,1993,1,1.0298934758072684
Assam,1993,2,1.6957903287327336
Assam,1993,3,3.521446389766866
Assam,1993,4,5.675982015075529
Assam,1993,5,15.064422322464855
Assam,1993,6,18.391049919846058
Assam,1993,7,14.387273937257216
Assam,1993,8,14.293697952133495
Assam,1993,9,11.472980401345161
Assam,1993,10,2.737940547728067
Assam,1993,11,0.6707924606665321
Assam,1993,12,0.1742225650393558
Assam,1994,1,0.715449813540772
Assam,1994,2,1.3426135376706585
Assam,1994,3,5.022859691257717
Assam,1994,4,5.575980701263818
Assam,1994,5,8.6810900818603
Assam,1994,6,15.8086381159565
Assam,1994,7,10.314352900492274
Assam,1994,8,11.69337522970357
Assam,1994,9,8.209730630474258
Assam,1994,10,4.494221831206241
Assam,1994,11,0.5622661871820193
Assam,1994,12,0.17670631423019884
Assam,1995,1,0.5584506402040157
Assam,1995,2,1.211500281564781
Assam,1995,3,1.6999321926735171
Assam,1995,4,5.76270993178254
Assam,1995,5,11.38409313925836
Assam,1995,6,19.69444227002993
Assam,1995,7,14.025188329488323
Assam,1995,8,11.667911790105846
Assam,1995,9,13.528834211896548
Assam,1995,10,2.245851203036799
Assam,1995,11,1.3493443695361793
Assam,1995,12,0.26340079305155184
Assam,1996,1,0.5556365817001732
Assam,1996,2,0.8866642288360747
Assam,1996,3,4.8403665183192155
Assam,1996,4,4.04364492919262
Assam,1996,5,14.512313960456243
Assam,1996,6,11.449318355572265
Assam,1996,7,14.278123872093383
Assam,1996,8,13.5678188836372
Assam,1996,9,6.016558148241043
Assam,1996,10,4.895766094457478
Assam,1996,11,0.2532914619716473
Assam,1996,12,0.13587974747854167
Assam,1997,1,0.5193014614837802
Assam,1997,2,1.1401378087207967
Assam,1997,3,3.3784430316456113
Assam,1997,4,5.446404707412006
Assam,1997,5,10.56236157405898
Assam,1997,6,14.857946272514903
Assam,1997,7,12.8718288461715
Assam,1997,8,11.15342447167451
Assam,1997,9,12.096052508146492
Assam,1997,10,1.5773019812540923
Assam,1997,11,0.39193401997681526
Assam,1997,12,0.6624954255861022
Assam,1998,1,0.5491606774379046
Assam,1998,2,1.051808898508502
Assam,1998,3,4.938541669226639
Assam,1998,4,7.165603997532172
Assam,1998,5,13.541230718066048
Assam,1998,6,17.63732969762113
Assam,1998,7,16.00611488028511
Assam,1998,8,13.77010053640263
Assam,1998,9,9.00770025518475
Assam,1998,10,4.503390758025176
Assam,1998,11,0.5272772070441932
Assam,1998,12,0.12966996872433253
Assam,1999,1,0.3289233066713729
Assam,1999,2,0.5682796656920084
Assam,1999,3,1.239089983990985
Assam,1999,4,3.2605280548896154
Assam,1999,5,16.733058737537835
Assam,1999,6,14.6458928462999
Assam,1999,7,16.393758556696557
Assam,1999,8,15.5085172395949
Assam,1999,9,10.179546794579252
Assam,1999,10,5.647969670926816
Assam,1999,11,0.34980594324605546
Assam,1999,12,0.1626400418384338
Assam,2000,1,0.7244025606338018
Assam,2000,2,0.9546540817877591
Assam,2000,3,2.701641556092167
Assam,2000,4,8.12494644776864
Assam,2000,5,15.623055654411282
Assam,2000,6,16.921338391927893
Assam,2000,7,13.823719006442323
Assam,2000,8,15.53734349705877
Assam,2000,9,13.482524162270082
Assam,2000,10,4.210405076982263
Assam,2000,11,0.6431293420116976
Assam,2000,12,0.25254434845990925
Assam,2001,1,0.3262418098777596
Assam,2001,2,1.431459347739231
Assam,2001,3,1.8056207642956685
Assam,2001,4,6.5881926069702255
Assam,2001,5,11.890117616845721
Assam,2001,6,13.112837820390624
Assam,2001,7,12.968849128588936
Assam,2001,8,9.871167059466803
Assam,2001,9,13.691675066672891
Assam,2001,10,6.629906697907372
Assam,2001,11,0.5819883720838191
Assam,2001,12,0.18747862906313262
Assam,2002,1,0.6076594103155235
Assam,2002,2,0.8599847221125777
Assam,2002,3,2.6771772405228025
Assam,2002,4,9.95256432244779
Assam,2002,5,11.892618782452164
Assam,2002,6,13.21007836757492
Assam,2002,7,15.070286092661847
Assam,2002,8,13.703821555416312
Assam,2002,9,8.741630706363352
Assam,2002,10,1.9065428187914262
Assam,2002,11,1.2188241328539273
Assam,2002,12,0.18552818268402152
Assam,2003,1,0.5029392788254494
Assam,2003,2,1.0651820472145654
Assam,2003,3,3.126163033636094
Assam,2003,4,7.604002389069385
Assam,2003,5,8.781199270935089
Assam,2003,6,17.33270786411137
Assam,2003,7,14.458082999168024
Assam,2003,8,11.410107132867978
Assam,2003,9,10.454353718824589
Assam,2003,10,6.230377809802791
Assam,2003,11,0.5283700918724648
Assam,2003,12,0.24976865513470833
Assam,2004,1,0.5447100907174752
Assam,2004,2,0.7805622489795444
Assam,2004,3,2.494480584894568
Assam,2004,4,13.738604486951415
Assam,2004,5,15.667972291811417
Assam,2004,6,14.630190280845138
Assam,2004,7,18.200872980723723
Assam,2004,8,10.622181780199803
Assam,2004,9,10.696421610955658
Assam,2004,10,7.742126650875666
Assam,2004,11,0.26522175844478324
Assam,2004,12,0.29960189395822995
Assam,2005,1,0.7343538669417505
Assam,2005,2,1.2355437696972527
Assam,2005,3,5.453261839758887
Assam,2005,4,7.366225275669951
Assam,2005,5,13.956326523083643
Assam,2005,6,11.155304501864816
Assam,2005,7,12.294185328946446
Assam,2005,8,15.589128725606669
Assam,2005,9,6.694645660140696
Assam,2005,10,5.4844102419261
Assam,2005,11,0.3737918883584605
Assam,2005,12,0.11170783253314286
Assam,2006,1,0.24446063466179324
