Year,Month,District,Temperature (°C)
1984,7,Cachar,29.745943602743072
1984,8,Cachar,30.687406604840437
1984,9,Cachar,29.16010822853926
1984,10,Cachar,28.65694853707528
1984,11,Cachar,26.580633993981817
1984,12,Cachar,23.29317540012127
1985,1,Cachar,23.58327114437785
1985,2,Cachar,24.104871104977843
1985,3,Cachar,27.92119595640226
1985,4,Cachar,29.689807495474376
1985,5,Cachar,30.036584734331036
1985,6,Cachar,29.216949428288245
1985,7,Cachar,29.444380544935807
1985,8,Cachar,30.32452185400647
1985,9,Cachar,30.137465731654228
1985,10,Cachar,29.772054038352753
1985,11,Cachar,27.19543673382014
1985,12,Cachar,24.37530113956934
1986,1,Cachar,23.01017717581051
1986,2,Cachar,25.853766529251143
1986,3,Cachar,30.054039721303607
1986,4,Cachar,29.05127389049698
1986,5,Cachar,30.86033339765983
1986,6,Cachar,31.80112835210456
1986,7,Cachar,29.856799564095656
1986,8,Cachar,30.735405291655297
1986,9,Cachar,28.901193852231568
1986,10,Cachar,28.040404196945833
1986,11,Cachar,26.49620354092604
1986,12,Cachar,23.802829210470847
1987,1,Cachar,23.37034826566728
1987,2,Cachar,26.492632868016837
1987,3,Cachar,27.582667118582574
1987,4,Cachar,29.83728390303229
1987,5,Cachar,31.067311620871827
1987,6,Cachar,30.330517058858025
1987,7,Cachar,29.594935198551006
1987,8,Cachar,29.352604564455024
1987,9,Cachar,30.519794049443288
1987,10,Cachar,29.985062267354316
1987,11,Cachar,27.67660595764628
1987,12,Cachar,24.688413440982764
1988,1,Cachar,24.081693317654207
1988,2,Cachar,26.38409371843509
1988,3,Cachar,28.366249417398766
1988,4,Cachar,30.93691059074565
1988,5,Cachar,29.526123302907436
1988,6,Cachar,30.5943315602959
1988,7,Cachar,29.544560751696192
1988,8,Cachar,28.97655848928976
1988,9,Cachar,29.7949160011315
1988,10,Cachar,29.10555155805345
1988,11,Cachar,27.12449255493035
1988,12,Cachar,23.852208514769302
1989,1,Cachar,21.6986464210246
1989,2,Cachar,24.164296641718416
1989,3,Cachar,28.94246914553407
1989,4,Cachar,30.6131766725826
1989,5,Cachar,31.115379414613834
1989,6,Cachar,29.82544211308674
1989,7,Cachar,29.368679515930808
1989,8,Cachar,30.431963007066756
1989,9,Cachar,29.969793978705464
1989,10,Cachar,28.35006087437066
1989,11,Cachar,25.5795698878408
1989,12,Cachar,22.995706125002044
1990,1,Cachar,23.462852825098985
1990,2,Cachar,24.810002042222113
1990,3,Cachar,25.929911435138497
1990,4,Cachar,27.03805275763988
1990,5,Cachar,30.166716293153723
1990,6,Cachar,29.839333642784823
1990,7,Cachar,30.091823719975054
1990,8,Cachar,31.352518508944804
1990,9,Cachar,29.937975440843605
1990,10,Cachar,29.15918793677829
1990,11,Cachar,27.469531924428306
1990,12,Cachar,23.57255721972838
1991,1,Cachar,22.130059833382948
1991,2,Cachar,25.670087187604764
1991,3,Cachar,29.832003145486407
1991,4,Cachar,29.122351625435698
1991,5,Cachar,27.11054463050519
1991,6,Cachar,29.579876083683484
1991,7,Cachar,30.95613639409386
1991,8,Cachar,30.952715271196087
1991,9,Cachar,29.641613103257242
1991,10,Cachar,29.431914907464787
1991,11,Cachar,26.036895659284774
1991,12,Cachar,22.223595654043002
1992,1,Cachar,22.46329984832618
1992,2,Cachar,22.294734266212256
1992,3,Cachar,28.80339398613833
1992,4,Cachar,31.34580331982546
1992,5,Cachar,29.974747263455065
1992,6,Cachar,30.871468289882976
1992,7,Cachar,30.146228232381244
1992,8,Cachar,31.413076310809412
