Year,Month,District,Flood Events,Flood Extent (sq km)
2010,2,Barpeta,4046470,3151.095028235293
2010,3,Barpeta,4046470,3088.3294164705876
2010,4,Barpeta,4046470,3206.5683811764684
2010,5,Barpeta,4046470,20.736928235294116
2010,6,Barpeta,4046470,2001.5476941176466
2010,7,Barpeta,4046470,424.7750188235261
2010,8,Barpeta,4046470,403.0219058823515
2010,9,Barpeta,4046470,194.23982117647049
2010,10,Barpeta,4046470,3608.796416470589
2010,11,Barpeta,4046470,3587.2971882352945
2010,12,Barpeta,4046470,2182.5650999999966
2011,1,Barpeta,4046470,3304.7763705882353
2011,2,Barpeta,4046470,3326.708601176471
2011,3,Barpeta,4046470,3631.919611764706
2011,4,Barpeta,4046470,3572.2455
2011,5,Barpeta,4046470,123.21058235294119
2011,6,Barpeta,4046470,0.0
2011,7,Barpeta,4046470,0.0
2011,8,Barpeta,4046470,3543.8415494117653
2011,9,Barpeta,4046470,3490.6213270588237
2011,10,Barpeta,4046470,3371.161503529411
2011,11,Barpeta,4046470,3625.6646011764715
2011,12,Barpeta,4046470,859.2607976470556
2012,1,Barpeta,4046470,1971.7084058823525
2012,2,Barpeta,4046470,2286.406055294114
2012,3,Barpeta,4046470,3268.49244352941
2012,4,Barpeta,4046470,3624.656085882353
2012,5,Barpeta,4046470,2193.6771635294117
2012,6,Barpeta,4046470,0.0486
2012,7,Barpeta,4046470,0.0
2012,8,Barpeta,4046470,189.44092235294121
2012,9,Barpeta,4046470,3405.4576129411766
2012,10,Barpeta,4046470,3164.035591764704
2012,11,Barpeta,4046470,3266.8416282352923
2012,12,Barpeta,4046470,552.036995294116
2013,1,Barpeta,4046470,3142.8011858823515
2013,2,Barpeta,4046470,1685.5246270588232
2013,3,Barpeta,4046470,3552.267719999999
2013,4,Barpeta,4046470,3640.468500000001
2013,5,Barpeta,4046470,3145.2670552941167
2013,6,Barpeta,4046470,3102.9704964705857
2013,7,Barpeta,4046470,1007.688409411765
2013,8,Barpeta,4046470,1796.8260423529412
2013,9,Barpeta,4046470,1457.9896094117637
2013,10,Barpeta,4046470,3243.0822635294116
2013,11,Barpeta,4046470,3640.0467741176476
2013,12,Barpeta,4046470,3612.9114458823533
2014,1,Barpeta,4046470,3075.285416470588
2014,2,Barpeta,4046470,3513.335668235294
2014,3,Barpeta,4046470,3633.182541176471
2014,4,Barpeta,4046470,3641.5003941176483
2014,5,Barpeta,4046470,3536.1379270588227
2014,6,Barpeta,4046470,2357.6696117647034
2014,7,Barpeta,4046470,3475.280308235294
2014,8,Barpeta,4046470,3258.124217647058
2014,9,Barpeta,4046470,3192.2215658823516
2014,10,Barpeta,4046470,3639.8787000000007
2014,11,Barpeta,4046470,3637.8209047058826
2014,12,Barpeta,4046470,3259.540764705883
2015,1,Barpeta,4046470,2792.2279200000007
2015,2,Barpeta,4046470,2432.855357647056
2015,3,Barpeta,4046470,3637.864930588236
2015,4,Barpeta,4046470,3407.538419999998
2015,5,Barpeta,4046470,3634.4074658823533
2015,6,Barpeta,4046470,239.77754117647052
2015,7,Barpeta,4046470,136.23810352941175
2015,8,Barpeta,4046470,1906.3798305882328
2015,9,Barpeta,4046470,3332.9645682352934
2015,10,Barpeta,4046470,3628.1545200000005
2015,11,Barpeta,4046470,3635.599482352942
2015,12,Barpeta,4046470,3529.7212976470596
2016,1,Barpeta,4046470,2816.2135799999996
2016,2,Barpeta,4046470,3233.396802352942
2016,3,Barpeta,4046470,3445.1642929411755
2016,4,Barpeta,4046470,3432.1109964705865
2016,5,Barpeta,4046470,19.941928235294114
2016,6,Barpeta,4046470,1387.2096847058822
2016,7,Barpeta,4046470,0.0
2016,8,Barpeta,4046470,287.3885505882352
2016,9,Barpeta,4046470,2899.275028235291
2016,10,Barpeta,4046470,3637.497342352942
2016,11,Barpeta,4046470,3637.6287000000007
2016,12,Barpeta,4046470,3604.6573200000007
2017,1,Barpeta,4046470,3548.2559258823535
2017,2,Barpeta,4046470,3307.826438823529
2017,3,Barpeta,4046470,3639.6408564705885
2017,4,Barpeta,4046470,1573.4518870588206
2017,5,Barpeta,4046470,3339.535937647059
2017,6,Barpeta,4046470,2724.6504847058814
2017,7,Barpeta,4046470,0.0
2017,8,Barpeta,4046470,2625.266392941173
2017,9,Barpeta,4046470,1311.8576047058812
2017,10,Barpeta,4046470,3241.368734117648
2017,11,Barpeta,4046470,3637.459450588236
2017,12,Barpeta,4046470,3600.8356552941177
2018,1,Barpeta,4046470,1318.4734976470552
2018,2,Barpeta,4046470,3132.791269411764
2018,3,Barpeta,4046470,3629.091494117648
2018,4,Barpeta,4046470,1892.9689764705872
2018,5,Barpeta,4046470,3637.157576470589
2018,6,Barpeta,4046470,2545.3882058823515
2018,7,Barpeta,4046470,0.2711647058823529
2018,8,Barpeta,4046470,259.72236352941167
2018,9,Barpeta,4046470,3583.457985882353
2018,10,Barpeta,4046470,3535.172569411765
2018,11,Barpeta,4046470,3604.2127164705885
2018,12,Barpeta,4046470,3581.47119882353
2019,1,Barpeta,4046470,3583.2532976470598
2019,2,Barpeta,4046470,2210.140835294118
2019,3,Barpeta,4046470,3640.889964705883
2019,4,Barpeta,4046470,1871.2684270588234
2019,5,Barpeta,4046470,300.0244552941177
2019,6,Barpeta,4046470,1517.6866976470585
2019,7,Barpeta,4046470,2518.122737647058
2019,8,Barpeta,4046470,1680.747049411764
2019,9,Barpeta,4046470,3326.1313976470574
2019,10,Barpeta,4046470,3637.26531882353
2019,11,Barpeta,4046470,3630.789695294118
2019,12,Barpeta,4046470,3569.962775294118
2020,1,Barpeta,4046470,3279.0513352941184
2020,2,Barpeta,4046470,3293.2552094117646
2020,3,Barpeta,4046470,3641.786364705883
2020,4,Barpeta,4046470,3285.7004188235273
2020,5,Barpeta,4046470,3510.820355294118
2020,6,Barpeta,4046470,2416.9616929411745
2020,7,Barpeta,4046470,1012.0444835294107
2020,8,Barpeta,4046470,2382.5244776470554
2020,9,Barpeta,4046470,2338.1349458823506
2020,10,Barpeta,4046470,3533.7437717647067
2020,11,Barpeta,4046470,3594.0559941176475
2020,12,Barpeta,4046470,3072.527057647059
2021,1,Barpeta,4046470,1801.4515023529414
2021,2,Barpeta,4046470,3337.110712941178
2021,3,Barpeta,4046470,3636.1286682352948
2021,4,Barpeta,4046470,3634.3520188235298
2021,5,Barpeta,4046470,2372.899612941176
2021,6,Barpeta,4046470,634.3985823529391
2021,7,Barpeta,4046470,2329.9002105882355
2021,8,Barpeta,4046470,1068.1975976470565
2021,9,Barpeta,4046470,3569.975036470589
2021,10,Barpeta,4046470,3638.466674117648
2021,11,Barpeta,4046470,3633.9686435294125
2021,12,Barpeta,4046470,3425.9205952941184
2022,1,Barpeta,0,0.0
2022,2,Barpeta,0,0.0
2022,3,Barpeta,0,0.0
2022,4,Barpeta,0,0.0
2022,5,Barpeta,0,0.0
2022,6,Barpeta,0,0.0
2022,7,Barpeta,0,0.0
2022,8,Barpeta,0,0.0
2022,9,Barpeta,0,0.0
2022,10,Barpeta,0,0.0
2022,11,Barpeta,0,0.0
2022,12,Barpeta,0,0.0
2023,1,Barpeta,0,0.0
2023,2,Barpeta,0,0.0
2023,3,Barpeta,0,0.0
2023,4,Barpeta,0,0.0
2023,5,Barpeta,0,0.0
2023,6,Barpeta,0,0.0
2023,7,Barpeta,0,0.0
2023,8,Barpeta,0,0.0
2023,9,Barpeta,0,0.0
2023,10,Barpeta,0,0.0
2023,11,Barpeta,0,0.0
2023,12,Barpeta,0,0.0
2000,1,Cachar,4669862,0.0
2000,2,Cachar,4669862,1470.9259588235277
2000,3,Cachar,4669862,4173.2245729411725
2000,4,Cachar,4669862,3717.184729411763
2000,5,Cachar,4669862,3560.893958823527
2000,6,Cachar,4669862,0.0
2000,7,Cachar,4669862,982.8549141176472
2000,8,Cachar,4669862,1167.6304694117653
2000,9,Cachar,4669862,534.9040164705883
2000,10,Cachar,4669862,4112.2635494117585
2000,11,Cachar,4669862,3810.2864364705815
2000,12,Cachar,4669862,4117.161441176468
2001,1,Cachar,4669862,302.16554470588244
2001,2,Cachar,4669862,3903.0011470588192
2001,3,Cachar,4669862,695.8731282352937
2001,4,Cachar,4669862,4145.528936470585
2001,5,Cachar,4669862,4077.130577647058
2001,6,Cachar,4669862,465.5695341176474
2001,7,Cachar,4669862,3007.687231764704
