Year,Month,Temperature (°C)
1991,6,28.010773388237265
1991,7,27.482096926535412
1991,8,26.10270102104369
1991,9,25.969617809462093
1991,10,24.17298207367181
1991,11,19.718944577499794
1991,12,16.62260700859672
1992,1,15.719652447452662
1992,2,16.74439733260309
1992,3,22.263008175443552
1992,4,26.27205665560094
1992,5,27.85315240259126
1992,6,28.89901714891717
1992,7,27.08495288860533
1992,8,26.323549130280725
1992,9,25.952482371370216
1992,10,23.501383240645616
1992,11,20.018750581636354
1992,12,16.819663874018875
1993,1,15.621625314513873
1993,2,19.169101184374473
1993,3,21.059668829713964
1993,4,26.141508488451095
1993,5,28.729921186720798
1993,6,28.476343486521845
1993,7,27.272273005800013
1993,8,26.856278168277697
1993,9,25.392429477117183
1993,10,24.25632416268854
1993,11,21.030967914543723
1993,12,17.91465930672884
1994,1,16.92954775637127
1994,2,17.558730918359675
1994,3,23.24075971296993
1994,4,25.476364482972887
1994,5,29.081343451614117
1994,6,28.451243509736905
1994,7,26.890451056257255
1994,8,26.32395299733887
1994,9,26.152751535267313
1994,10,23.960805219928698
1994,11,20.387860233886848
1994,12,17.11807085818571
1995,1,14.55465180874998
1995,2,17.740330993669048
1995,3,21.782955010446972
1995,4,25.868611184275203
1995,5,29.485442073815616
1995,6,30.106605911144996
1995,7,27.243894365526412
1995,8,26.460403796890656
1995,9,26.176976589043708
1995,10,24.434358758291502
1995,11,20.259054401538712
1995,12,16.81583073385767
1996,1,15.772435602503927
1996,2,18.555772343220784
1996,3,22.989427405939036
1996,4,26.498220926809353
1996,5,28.666395413803897
1996,6,28.071208416498983
1996,7,27.314106127565587
1996,8,26.163532704212535
1996,9,25.974414741561997
1996,10,23.532573114036413
1996,11,20.71116485577353
1996,12,17.891042853455343
1997,1,15.555428753124628
1997,2,17.914553893590348
1997,3,22.214479308895243
1997,4,24.31453339985982
1997,5,27.891950364210118
1997,6,27.938781447825686
1997,7,27.512853065785986
1997,8,26.745758881515822
1997,9,25.739022817378732
1997,10,22.30257972750489
1997,11,19.207778884527606
1997,12,14.482205352187103
1998,1,15.328639903021221
1998,2,18.188226825553492
1998,3,21.290148320254705
1998,4,26.618430698829766
1998,5,29.452457211066132
1998,6,29.326656764521488
1998,7,27.1987209448372
1998,8,26.683372978906878
