Year,Month,District,Rainfall (mm)
2015,1,Hoshangabad,27.856622401084586
2015,2,Hoshangabad,14.915475033661384
2015,3,Hoshangabad,32.56902198514097
2015,4,Hoshangabad,4.196024811679704
2015,5,Hoshangabad,5.787697650632504
2015,6,Hoshangabad,170.08799643408997
2015,7,Hoshangabad,467.50243328949796
2015,8,Hoshangabad,377.01895258840966
2015,9,Hoshangabad,123.26809879007179
2015,10,Hoshangabad,11.262257317032109
2015,11,Hoshangabad,6.694150787942456
2015,12,Hoshangabad,1.3637905058991961
2016,1,Hoshangabad,14.986376224912306
2016,2,Hoshangabad,14.137740868254905
2016,3,Hoshangabad,9.411618598755267
2016,4,Hoshangabad,0.1559112326243056
2016,5,Hoshangabad,9.162234943273921
2016,6,Hoshangabad,172.9123974707767
2016,7,Hoshangabad,840.9831789978228
2016,8,Hoshangabad,586.7367371634097
2016,9,Hoshangabad,168.15581684535871
2016,10,Hoshangabad,31.91340198579102
2016,11,Hoshangabad,0.702704315262665
2016,12,Hoshangabad,1.363790438597172
2017,1,Hoshangabad,15.253329474025493
2017,2,Hoshangabad,6.766427562221607
2017,3,Hoshangabad,3.8647727721408014
2017,4,Hoshangabad,0.0720081621099895
2017,5,Hoshangabad,8.686879889626482
2017,6,Hoshangabad,148.78767887722867
2017,7,Hoshangabad,476.48082925069957
2017,8,Hoshangabad,228.73672439958972
2017,9,Hoshangabad,294.80303250262307
2017,10,Hoshangabad,19.360816697173405
2017,11,Hoshangabad,2.9527341874090998
2017,12,Hoshangabad,5.597041274722835
2018,1,Hoshangabad,13.542970127720302
2018,2,Hoshangabad,19.68476282291092
2018,3,Hoshangabad,3.3460832606893294
2018,4,Hoshangabad,2.609477060517797
2018,5,Hoshangabad,2.943872378662734
2018,6,Hoshangabad,179.78191475151098
2018,7,Hoshangabad,588.1226011980768
2018,8,Hoshangabad,345.2643836947905
2018,9,Hoshangabad,166.70128223012946
2018,10,Hoshangabad,6.999513404706523
2018,11,Hoshangabad,5.857959184908211
2018,12,Hoshangabad,5.0018903207210235
2019,1,Hoshangabad,14.414638960287508
2019,2,Hoshangabad,8.134865591400043
2019,3,Hoshangabad,2.9914789341190584
2019,4,Hoshangabad,6.032202237391744
2019,5,Hoshangabad,0.5133046947502311
2019,6,Hoshangabad,118.15481369043094
2019,7,Hoshangabad,534.9480348031503
2019,8,Hoshangabad,658.3794279887753
2019,9,Hoshangabad,740.4016604422823
2019,10,Hoshangabad,31.23762288453023
2019,11,Hoshangabad,9.055863293834095
2019,12,Hoshangabad,8.701342572300492
2020,1,Hoshangabad,17.796373153947908
2020,2,Hoshangabad,5.6340530647079365
2020,3,Hoshangabad,20.42195329369612
2020,4,Hoshangabad,1.3109412678079477
2020,5,Hoshangabad,7.357196674862201
2020,6,Hoshangabad,229.52932513578136
2020,7,Hoshangabad,343.17110672294405
2020,8,Hoshangabad,601.7753136762383
2020,9,Hoshangabad,312.0180827987332
2020,10,Hoshangabad,37.93090703315034
2020,11,Hoshangabad,4.2049726245946
2020,12,Hoshangabad,7.270504472683123
2000,1,Jabalpur,12.773982351120436
2000,2,Jabalpur,13.36925507046158
2000,3,Jabalpur,7.143544201799559
2000,4,Jabalpur,0.9145235188664055
2000,5,Jabalpur,13.018565201641152
2000,6,Jabalpur,147.98856775825368
2000,7,Jabalpur,544.9776507407748
2000,8,Jabalpur,189.4731867321763
2000,9,Jabalpur,87.63175929734855
2000,10,Jabalpur,12.385769939113652
2000,11,Jabalpur,0.004159508213350481
2000,12,Jabalpur,0.29535390217605806
2001,1,Jabalpur,13.231478085028234
2001,2,Jabalpur,8.71142907479982
2001,3,Jabalpur,13.21886237779932
2001,4,Jabalpur,9.77500851550633
2001,5,Jabalpur,14.076692213805654
2001,6,Jabalpur,264.6322246834514
2001,7,Jabalpur,531.3104651978297
2001,8,Jabalpur,333.0100638273699
2001,9,Jabalpur,44.59278434297554
2001,10,Jabalpur,78.29448856931721
2001,11,Jabalpur,5.331125478240145
2001,12,Jabalpur,0.25966655551975015
2002,1,Jabalpur,14.453938103242956
2002,2,Jabalpur,38.714237460551864
2002,3,Jabalpur,11.79810041692246
2002,4,Jabalpur,5.2509397899719525
2002,5,Jabalpur,19.770121379681584
2002,6,Jabalpur,137.84659181517665
2002,7,Jabalpur,153.60606039277152
2002,8,Jabalpur,589.1317964629205
2002,9,Jabalpur,193.68909256369855
2002,10,Jabalpur,21.524407749468867
2002,11,Jabalpur,1.295433986233938
2002,12,Jabalpur,0.1307867628697868
2003,1,Jabalpur,10.705897236250017
2003,2,Jabalpur,47.4853231185121
2003,3,Jabalpur,11.110820902498839
2003,4,Jabalpur,0.07473535890070274
2003,5,Jabalpur,4.734631984620877
2003,6,Jabalpur,143.36547396375693
2003,7,Jabalpur,428.60973180133016
2003,8,Jabalpur,495.65683513587203
2003,9,Jabalpur,449.9369431198804
2003,10,Jabalpur,18.200612277268085
2003,11,Jabalpur,0.008509549300391708
2003,12,Jabalpur,4.237905977165493
2004,1,Jabalpur,44.33223457323193
2004,2,Jabalpur,8.130587294466645
2004,3,Jabalpur,6.781534148074711
2004,4,Jabalpur,5.077226739399211
2004,5,Jabalpur,6.2974546477807225
2004,6,Jabalpur,259.36111673479337
2004,7,Jabalpur,302.07504429323825
2004,8,Jabalpur,437.0657932636242
2004,9,Jabalpur,118.08418860185438
2004,10,Jabalpur,24.654328172693127
2004,11,Jabalpur,2.8490351871726878
2004,12,Jabalpur,0.0
2005,1,Jabalpur,54.30035731216742
2005,2,Jabalpur,11.007398824825064
2005,3,Jabalpur,25.806309983258657
2005,4,Jabalpur,5.978309794308284
2005,5,Jabalpur,6.2526867710853855
2005,6,Jabalpur,176.67180979678474
2005,7,Jabalpur,920.6960254230438
2005,8,Jabalpur,336.69227259429243
2005,9,Jabalpur,270.7023394321631
2005,10,Jabalpur,15.981515560866017
2005,11,Jabalpur,1.9684664419126843
2005,12,Jabalpur,3.9047982276098967
2006,1,Jabalpur,13.9870229977497
2006,2,Jabalpur,6.813612226636163
2006,3,Jabalpur,40.61791788368723
2006,4,Jabalpur,6.220480994578347
2006,5,Jabalpur,18.60720797666299
2006,6,Jabalpur,102.46969242299086
2006,7,Jabalpur,444.75597088808274
2006,8,Jabalpur,353.7271049503717
2006,9,Jabalpur,118.18203152058729
2006,10,Jabalpur,11.444344660292451
2006,11,Jabalpur,9.586040066108204
