Year,Month,District,Temperature (°C)
2010,6,Naini Tal,33.406386542750774
2010,7,Naini Tal,28.25007420776316
2010,8,Naini Tal,28.047379556022772
2010,9,Naini Tal,26.885042929571384
2010,10,Naini Tal,28.07916044962771
2010,11,Naini Tal,24.423307857222323
2010,12,Naini Tal,20.42720655432383
2011,1,Naini Tal,15.83134878614904
2011,2,Naini Tal,20.745747095241438
2011,3,Naini Tal,25.628303031255406
2011,4,Naini Tal,29.655117975639637
2011,5,Naini Tal,32.174314166055034
2011,6,Naini Tal,30.07206639085846
2011,7,Naini Tal,28.373286091674657
2011,8,Naini Tal,28.156343452942124
2011,9,Naini Tal,28.81444711597429
2011,10,Naini Tal,28.081305260364655
2011,11,Naini Tal,23.592962938076433
2011,12,Naini Tal,19.906591763378685
2012,1,Naini Tal,16.07710837289744
2012,2,Naini Tal,20.514507269725545
2012,3,Naini Tal,26.165564701333384
2012,4,Naini Tal,29.81162534112367
2012,5,Naini Tal,34.37841719469902
2012,6,Naini Tal,35.900413293975355
2012,7,Naini Tal,29.21834776201846
2012,8,Naini Tal,28.851031824805027
2012,9,Naini Tal,28.990300322792482
2012,10,Naini Tal,28.12159323241331
2012,11,Naini Tal,24.003602212831805
2012,12,Naini Tal,20.04172097568808
2013,1,Naini Tal,15.821697450699919
2013,2,Naini Tal,20.119711118009082
2013,3,Naini Tal,26.995213739723987
2013,4,Naini Tal,30.9246919162064
2013,5,Naini Tal,34.3568007647303
2013,6,Naini Tal,29.3167231831882
2013,7,Naini Tal,28.144393205804647
2013,8,Naini Tal,29.54384339545678
2013,9,Naini Tal,29.944857854133176
2013,10,Naini Tal,27.16515547477763
2013,11,Naini Tal,24.097149482765325
2013,12,Naini Tal,20.43209244583759
2014,1,Naini Tal,17.548982743340844
2014,2,Naini Tal,19.423910484280963
2014,3,Naini Tal,24.734274662094965
2014,4,Naini Tal,30.501054384701135
2014,5,Naini Tal,33.34342927501802
2014,6,Naini Tal,34.562071012988355
2014,7,Naini Tal,29.303459427942737
2014,8,Naini Tal,30.884483013027204
2014,9,Naini Tal,29.647007469469784
2014,10,Naini Tal,27.453571324921864
2014,11,Naini Tal,24.62625604327754
2014,12,Naini Tal,19.204955420809174
2015,1,Naini Tal,16.14572856044315
2015,2,Naini Tal,21.528654871680036
2015,3,Naini Tal,24.20701298373195
2015,4,Naini Tal,28.501524729925425
2015,5,Naini Tal,34.3177235732966
2015,6,Naini Tal,32.56322000110196
2015,7,Naini Tal,29.150338587926996
2015,8,Naini Tal,29.21308992564301
2015,9,Naini Tal,30.48101164559312
2015,10,Naini Tal,28.578585110387387
2015,11,Naini Tal,25.00932773334128
2015,12,Naini Tal,19.105597819873164
2016,1,Naini Tal,17.66446292564558
2016,2,Naini Tal,21.890656282743237
2016,3,Naini Tal,26.05489133942318
2016,4,Naini Tal,32.24023447409432
2016,5,Naini Tal,31.210606043998794
2016,6,Naini Tal,30.44102373634379
2016,7,Naini Tal,27.136628859101453
2016,8,Naini Tal,28.909002655760496
2016,9,Naini Tal,28.59322282726186
2016,10,Naini Tal,27.74342141534585
2016,11,Naini Tal,24.409171055794825
2016,12,Naini Tal,20.482679264157305
2017,1,Naini Tal,17.04929687259765
2017,2,Naini Tal,22.046188643804893
2017,3,Naini Tal,24.72108888443113
2017,4,Naini Tal,30.928584793011513
2017,5,Naini Tal,31.731816381994914
2017,6,Naini Tal,31.098456279664138
2017,7,Naini Tal,27.813749025683475
